episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
1100,55000,238.9,43.304,-31.003,-0.0020,-0.0013,-0.0025,0.1071,1.3773,1.4767,0.0005
1120,56000,243.3,49.829,-26.994,-0.0013,-0.0007,-0.0027,0.1801,1.4135,1.4831,0.0000
1140,57000,247.6,48.848,-28.992,-0.0021,-0.0004,-0.0029,0.1746,1.4077,1.4888,0.0001
1160,58000,252.1,39.895,-23.662,-0.0016,-0.0005,-0.0024,0.1292,1.3948,1.4861,0.0002
1180,59000,256.5,37.873,-30.035,-0.0024,-0.0006,-0.0010,0.2707,1.3807,1.4878,0.0004
1200,,,,,,,,,,,
1200,60000,262.8,24.622,-29.035,-0.0027,-0.0011,-0.0013,0.1165,1.3839,1.4684,0.0005
1220,61000,267.2,27.979,-24.582,-0.0017,-0.0009,-0.0020,0.1357,1.3931,1.4864,-0.0001
1240,62000,271.6,33.029,-26.783,-0.0023,-0.0009,-0.0009,0.1129,1.3663,1.4894,0.0003
1260,63000,275.9,46.921,-28.978,-0.0016,-0.0022,-0.0015,0.1471,1.3574,1.4806,0.0005
1280,64000,280.2,46.735,-28.773,-0.0018,-0.0017,-0.0007,0.1111,1.3592,1.5036,0.0006
1300,65000,284.6,52.431,-31.221,-0.0018,-0.0011,-0.0017,0.1590,1.3657,1.4842,0.0005
1320,66000,289.1,40.600,-33.048,-0.0018,-0.0012,-0.0009,0.1063,1.3089,1.4866,0.0005
1340,67000,293.4,45.889,-32.426,-0.0017,-0.0013,-0.0015,0.1673,1.3483,1.4920,0.0000
1360,68000,297.7,50.882,-37.602,-0.0021,-0.0011,-0.0014,0.1415,1.3441,1.4796,0.0006
1380,69000,302.0,45.187,-34.947,-0.0018,-0.0018,-0.0031,0.1411,1.3213,1.4669,0.0008
1400,,,,,,,,,,,
1400,70000,308.2,40.430,-31.120,-0.0027,-0.0006,-0.0020,0.1648,1.2930,1.4807,0.0001
1420,71000,312.4,34.314,-20.862,-0.0016,-0.0004,-0.0023,0.0872,1.3152,1.4798,0.0002
