episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
1100,55000,265.6,23.935,-16.676,-0.0022,-0.0009,-0.0026,0.1232,1.4024,1.4760,0.0001
1120,56000,269.8,29.011,-17.896,-0.0023,-0.0011,-0.0027,0.1292,1.3818,1.4782,0.0001
1140,57000,274.3,19.058,-21.890,-0.0028,-0.0017,-0.0019,0.1146,1.4089,1.4721,0.0002
1160,58000,278.9,31.393,-27.720,-0.0024,-0.0018,-0.0020,0.1394,1.3755,1.4551,0.0002
1180,59000,283.5,27.027,-24.271,-0.0019,-0.0018,-0.0013,0.1037,1.3904,1.4719,0.0007
1200,,,,,,,,,,,
1200,60000,290.3,38.976,-24.480,-0.0018,-0.0009,-0.0013,0.1394,1.3796,1.4456,0.0005
1220,61000,295.0,48.549,-30.964,-0.0022,-0.0006,-0.0013,0.1538,1.3912,1.4538,0.0001
1240,62000,299.6,54.305,-32.958,-0.0030,-0.0016,-0.0006,0.2368,1.4074,1.4609,0.0005
1260,63000,304.2,49.527,-30.050,-0.0019,-0.0015,-0.0008,0.1503,1.3571,1.4686,-0.0000
1280,64000,309.1,49.112,-25.513,-0.0018,-0.0015,-0.0011,0.1521,1.3618,1.4695,0.0005
1300,65000,313.8,61.758,-34.509,-0.0020,-0.0010,-0.0012,0.2231,1.3683,1.4789,0.0002
1320,66000,318.7,45.091,-27.126,-0.0018,-0.0011,-0.0013,0.2101,1.3613,1.4775,0.0001
1340,67000,323.6,27.145,-23.485,-0.0021,-0.0002,-0.0026,0.1405,1.4040,1.4556,-0.0003
1360,68000,328.4,32.433,-22.562,-0.0019,-0.0005,-0.0013,0.1209,1.3857,1.4791,0.0002
1380,69000,333.2,22.013,-15.710,-0.0015,-0.0014,-0.0017,0.1270,1.4070,1.4681,0.0002
1400,,,,,,,,,,,
1400,70000,340.1,22.528,-20.829,-0.0017,-0.0013,-0.0019,0.0953,1.3852,1.4731,0.0006
1420,71000,344.6,31.049,-18.315,-0.0012,-0.0018,-0.0021,0.1417,1.3965,1.4829,0.0010
1440,72000,349.4,33.093,-21.142,-0.0019,-0.0010,-0.0015,0.0953,1.3984,1.4694,0.0001
1460,73000,354.3,38.145,-23.293,-0.0020,-0.0015,-0.0014,0.1249,1.3838,1.4943,0.0009
1480,74000,359.0,36.625,-26.590,-0.0017,-0.0014,-0.0015,0.1271,1.3779,1.4868,-0.0001
1500,75000,363.6,27.924,-38.708,-0.0020,-0.0011,-0.0016,0.1079,1.3851,1.4754,0.0008
1520,76000,368.4,35.876,-43.624,-0.0033,-0.0005,-0.0023,0.0881,1.3590,1.4714,0.0002
1540,77000,373.1,37.650,-28.603,-0.0015,-0.0013,-0.0006,0.0884,1.3564,1.4397,0.0001
1560,78000,377.6,46.433,-28.891,-0.0023,-0.0006,-0.0007,0.1464,1.3522,1.4679,0.0002
1580,79000,382.1,56.095,-37.434,-0.0021,-0.0009,-0.0020,0.2080,1.3397,1.4487,0.0009
1600,,,,,,,,,,,
1600,80000,388.6,37.649,-39.339,-0.0018,-0.0006,-0.0017,0.1275,1.3428,1.4370,0.0003
1620,81000,393.2,49.351,-31.981,-0.0014,-0.0007,-0.0008,0.2012,1.3300,1.3911,0.0002
1640,82000,398.1,42.473,-31.351,-0.0021,-0.0012,-0.0007,0.1279,1.3316,1.4097,0.0006
1660,83000,402.8,43.684,-30.062,-0.0024,-0.0006,-0.0005,0.1228,1.3610,1.4316,0.0001
1680,84000,407.7,33.116,-32.982,-0.0019,-0.0005,-0.0011,0.1448,1.3398,1.4407,0.0002
1700,85000,412.7,46.978,-35.903,-0.0019,-0.0008,-0.0016,0.1336,1.3560,1.4207,0.0001
1720,86000,417.3,54.662,-29.657,-0.0027,-0.0007,-0.0007,0.2369,1.3186,1.4557,0.0000
1740,87000,421.8,57.327,-37.410,-0.0018,-0.0009,-0.0018,0.1528,1.3296,1.4820,0.0002
1760,88000,426.4,39.567,-25.141,-0.0020,-0.0008,-0.0007,0.1543,1.3319,1.4815,-0.0001
1780,89000,431.2,42.029,-31.020,-0.0015,-0.0010,-0.0006,0.1415,1.3491,1.4674,0.0002
1800,,,,,,,,,,,
1800,90000,438.3,45.004,-26.472,-0.0022,-0.0004,-0.0009,0.0904,1.3600,1.4679,0.0001
1820,91000,443.1,54.452,-31.819,-0.0020,-0.0005,-0.0011,0.2676,1.3297,1.4661,0.0002
1840,92000,448.0,39.609,-32.879,-0.0022,-0.0006,-0.0009,0.1276,1.3421,1.4849,0.0002
1860,93000,452.9,53.182,-31.515,-0.0030,-0.0010,-0.0011,0.1423,1.3518,1.5001,-0.0000
1880,94000,457.9,38.433,-28.171,-0.0022,-0.0007,-0.0023,0.1875,1.3639,1.4937,0.0002
1900,95000,462.6,27.102,-22.171,-0.0025,-0.0007,-0.0010,0.0872,1.3623,1.4990,-0.0001
1920,96000,467.5,39.505,-27.562,-0.0017,-0.0006,-0.0015,0.1495,1.3551,1.5069,0.0004
1940,97000,472.3,38.319,-23.025,-0.0019,-0.0007,-0.0019,0.1109,1.3347,1.5071,-0.0003
1960,98000,477.4,44.242,-37.966,-0.0019,-0.0007,-0.0009,0.1844,1.3466,1.4992,0.0000
1980,99000,482.3,35.706,-30.394,-0.0019,-0.0007,-0.0014,0.1311,1.3514,1.4922,0.0000
2000,,,,,,,,,,,
2000,100000,489.3,42.596,-30.369,-0.0022,-0.0012,-0.0011,0.1477,1.3180,1.4796,0.0001
2020,101000,494.0,44.627,-30.267,-0.0024,-0.0005,-0.0011,0.1469,1.3506,1.4934,0.0006
2040,102000,498.6,33.872,-28.594,-0.0018,-0.0005,-0.0011,0.1430,1.3386,1.5013,0.0002
2060,103000,503.3,31.046,-26.002,-0.0020,-0.0010,-0.0010,0.0990,1.3184,1.4855,0.0003
2080,104000,508.3,43.873,-36.486,-0.0027,-0.0003,-0.0017,0.1365,1.3448,1.4869,0.0002
2100,105000,513.2,55.212,-30.879,-0.0033,-0.0009,-0.0012,0.2460,1.3572,1.4837,0.0002
2120,106000,518.1,51.178,-30.433,-0.0018,-0.0007,-0.0007,0.1106,1.3693,1.4727,0.0003
2140,107000,523.1,50.445,-33.582,-0.0017,-0.0009,-0.0005,0.1552,1.3735,1.4701,0.0003
2160,108000,527.9,40.250,-27.949,-0.0017,-0.0007,-0.0010,0.1088,1.3601,1.4838,0.0002
2180,109000,532.4,44.396,-30.992,-0.0023,-0.0007,-0.0009,0.1835,1.3427,1.4820,-0.0001
2200,,,,,,,,,,,
2200,110000,539.2,56.137,-33.456,-0.0024,-0.0010,-0.0014,0.2035,1.3437,1.4880,0.0005
2220,111000,544.0,35.194,-20.694,-0.0013,-0.0008,-0.0007,0.1528,1.3439,1.4985,0.0006
2240,112000,548.6,40.525,-23.989,-0.0023,-0.0008,-0.0011,0.1112,1.3340,1.4858,0.0002
