episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.6,37.9757,-26.3532,-0.0041,0.2016,2.2934,-0.0003,nan
40,2000,7.2,28.2741,-29.3716,-0.0018,0.1300,2.2872,0.0002,nan
60,3000,10.9,54.5751,-34.2939,-0.0018,0.2603,2.2817,0.0002,nan
80,4000,14.6,46.6543,-25.5242,-0.0016,0.1356,2.2713,-0.0001,nan
100,,,,,,,,,
100,5000,19.8,51.4718,-25.5523,-0.0014,0.0916,2.2585,0.0000,nan
120,6000,23.4,48.1342,-25.2512,-0.0014,0.1015,2.2677,0.0003,nan
140,7000,27.1,38.2264,-35.3739,-0.0031,0.0422,2.2695,-0.0002,nan
160,8000,30.8,66.1469,-15.4121,-0.0020,0.0572,2.2698,0.0002,nan
180,9000,34.5,83.7635,-39.6133,-0.0015,0.0640,2.2681,0.0005,nan
200,,,,,,,,,
200,10000,39.8,113.7880,-25.8976,-0.0012,0.0759,2.2607,0.0001,nan
220,11000,43.4,51.4198,-17.9507,-0.0014,0.0539,2.2533,-0.0001,nan
240,12000,47.1,84.2056,-21.4071,-0.0013,0.0550,2.2451,0.0002,nan
260,13000,50.8,98.6593,-19.1715,-0.0013,0.0547,2.2413,0.0001,nan
280,14000,54.5,107.3332,-21.4222,-0.0013,0.0458,2.2452,0.0002,nan
300,,,,,,,,,
300,15000,59.8,87.3760,-29.7301,-0.0012,0.0455,2.2348,0.0001,nan
320,16000,63.4,114.7194,-36.8414,-0.0015,0.0610,2.2338,-0.0000,nan
340,17000,67.1,111.2993,-37.1764,-0.0012,0.0382,2.2256,-0.0001,nan
360,18000,70.8,112.0677,-24.8053,-0.0017,0.0426,2.2300,0.0001,nan
380,19000,74.4,172.4605,-24.5391,-0.0008,0.0724,2.2214,-0.0001,nan
400,,,,,,,,,
400,20000,79.7,149.7152,-15.9402,-0.0012,0.0524,2.2211,-0.0000,nan
420,21000,83.3,116.5503,-24.1394,-0.0011,0.0551,2.2295,0.0001,nan
440,22000,86.9,132.2576,-25.3690,-0.0014,0.0469,2.2026,0.0003,nan
460,23000,90.7,174.5647,-28.4520,-0.0015,0.0758,2.2042,0.0001,nan
480,24000,94.3,158.2906,-23.5312,-0.0015,0.0381,2.2012,0.0001,nan
500,,,,,,,,,
500,25000,99.8,111.9616,-29.9176,-0.0014,0.0464,2.2081,0.0006,nan
520,26000,103.4,166.7891,-27.4294,-0.0015,0.0580,2.1952,0.0003,nan
540,27000,107.1,180.0378,-18.7894,-0.0014,0.0349,2.1845,0.0001,nan
560,28000,110.8,161.9390,-27.4507,-0.0020,0.0348,2.1832,0.0003,nan
580,29000,114.5,174.7653,-26.0330,-0.0016,0.0304,2.1648,0.0002,nan
600,,,,,,,,,
600,30000,119.8,187.4363,-22.2049,-0.0014,0.0529,2.1469,0.0003,nan
620,31000,123.3,134.9958,-21.2849,-0.0012,0.0238,2.1613,0.0003,nan
640,32000,127.0,194.9123,-27.4045,-0.0013,0.0449,2.1515,-0.0000,nan
660,33000,130.7,187.7177,-30.4483,-0.0013,0.0644,2.1545,0.0000,nan
680,34000,134.4,204.4041,-35.3926,-0.0020,0.0370,2.1413,0.0004,nan
700,,,,,,,,,
700,35000,139.5,173.1878,-24.3938,-0.0016,0.0393,2.1258,0.0004,nan
720,36000,143.2,132.9676,-28.5935,-0.0010,0.0341,2.1152,0.0001,nan
740,37000,146.9,148.1629,-27.6798,-0.0010,0.0399,2.1091,0.0003,nan
760,38000,150.6,162.0465,-25.3414,-0.0014,0.0403,2.1150,-0.0001,nan
780,39000,154.2,165.4469,-24.3933,-0.0014,0.0400,2.1233,-0.0001,nan
800,,,,,,,,,
800,40000,159.5,166.2563,-29.8545,-0.0014,0.0493,2.1041,-0.0000,nan
820,41000,163.1,164.2736,-32.4854,-0.0016,0.0322,2.1071,0.0001,nan
840,42000,166.8,214.0040,-28.2366,-0.0013,0.0503,2.1123,0.0001,nan
860,43000,170.5,205.8063,-24.3154,-0.0009,0.0557,2.1247,0.0004,nan
880,44000,174.1,198.4773,-22.6621,-0.0010,0.0433,2.1126,0.0001,nan
900,,,,,,,,,
900,45000,179.2,240.5983,-21.7877,-0.0013,0.0246,2.0895,0.0005,nan
920,46000,182.8,185.1490,-27.1888,-0.0013,0.0591,2.1138,0.0003,nan
940,47000,186.6,172.8260,-24.0830,-0.0016,0.0393,2.1151,0.0003,nan
960,48000,190.3,179.3567,-33.9389,-0.0013,0.0463,2.1093,0.0000,nan
980,49000,194.1,170.1309,-28.1592,-0.0013,0.0392,2.1125,-0.0000,nan
1000,,,,,,,,,
1000,50000,199.4,174.8027,-26.6264,-0.0012,0.0503,2.1155,0.0003,nan
1020,51000,203.0,186.9572,-23.0589,-0.0018,0.0339,2.1007,0.0003,nan
1040,52000,206.6,162.7491,-19.0507,-0.0012,0.0385,2.1161,-0.0001,nan
