episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.2,6.623,-64.822,-0.0053,-0.0025,-0.0060,0.9560,1.6045,1.6003,0.0008
40,2000,10.5,6.395,-39.847,-0.0027,-0.0012,-0.0031,0.8377,1.6002,1.5903,0.0006
60,3000,15.6,9.451,-25.892,-0.0018,-0.0011,-0.0010,1.0036,1.5917,1.5780,0.0006
80,4000,20.8,15.586,-21.071,-0.0021,-0.0008,-0.0020,1.4508,1.5835,1.5738,0.0001
100,5000,26.0,7.075,-8.827,-0.0023,-0.0007,-0.0009,0.4531,1.5770,1.5617,0.0001
120,6000,31.0,8.776,-12.995,-0.0022,-0.0007,-0.0015,0.4040,1.5807,1.5434,0.0001
140,7000,36.1,9.419,-15.100,-0.0012,-0.0007,-0.0009,0.3196,1.5817,1.5366,0.0002
160,8000,41.1,6.069,-13.386,-0.0022,-0.0006,-0.0016,0.2522,1.5756,1.5339,-0.0001
180,9000,46.2,15.247,-14.055,-0.0014,-0.0004,-0.0015,0.5613,1.5778,1.5297,-0.0002
200,,,,,,,,,,,
200,10000,53.7,11.311,-9.829,-0.0021,-0.0011,-0.0007,0.2836,1.5837,1.5277,0.0001
220,11000,58.7,12.493,-10.632,-0.0019,-0.0005,-0.0017,0.4435,1.5837,1.5074,0.0004
240,12000,63.9,14.301,-9.509,-0.0017,-0.0009,-0.0005,0.3908,1.5732,1.5047,0.0003
260,13000,69.2,12.273,-10.111,-0.0017,-0.0022,-0.0013,0.4826,1.5680,1.4996,-0.0000
280,14000,74.3,15.705,-12.751,-0.0018,-0.0007,-0.0008,0.3475,1.5446,1.4988,0.0002
300,15000,79.5,17.301,-11.679,-0.0019,-0.0014,-0.0007,0.3397,1.5432,1.5007,0.0004
320,16000,84.8,21.974,-19.253,-0.0021,-0.0014,-0.0007,0.3660,1.5468,1.4998,0.0007
340,17000,90.0,15.850,-8.855,-0.0022,-0.0015,-0.0011,0.2349,1.5467,1.5120,0.0003
360,18000,95.1,15.277,-10.863,-0.0018,-0.0023,-0.0011,0.2015,1.5580,1.4849,0.0001
380,19000,100.4,23.661,-16.694,-0.0014,-0.0015,-0.0010,0.3683,1.5538,1.5019,0.0005
400,,,,,,,,,,,
400,20000,108.0,29.675,-20.747,-0.0019,-0.0007,-0.0011,0.2955,1.5500,1.4785,-0.0001
420,21000,113.1,37.914,-25.196,-0.0020,-0.0008,-0.0012,0.3613,1.5383,1.4838,-0.0001
440,22000,118.2,27.371,-24.387,-0.0019,-0.0010,-0.0013,0.3121,1.5354,1.4673,-0.0000
460,23000,123.3,23.369,-19.545,-0.0019,-0.0007,-0.0031,0.2213,1.5242,1.4591,0.0002
480,24000,128.5,18.750,-12.573,-0.0022,-0.0007,-0.0008,0.1357,1.5294,1.4573,0.0000
500,25000,133.7,23.250,-18.101,-0.0024,-0.0010,-0.0022,0.1064,1.5244,1.4475,0.0002
520,26000,138.8,21.268,-14.654,-0.0022,-0.0010,-0.0014,0.0987,1.5214,1.4646,0.0004
540,27000,143.9,20.960,-13.904,-0.0019,-0.0010,-0.0020,0.0944,1.5196,1.4768,0.0001
560,28000,149.1,23.430,-17.112,-0.0024,-0.0012,-0.0013,0.0972,1.5226,1.4613,0.0001
580,29000,154.1,26.085,-16.776,-0.0025,-0.0013,-0.0016,0.1281,1.5330,1.4823,0.0004
600,,,,,,,,,,,
600,30000,161.5,32.083,-18.856,-0.0023,-0.0020,-0.0015,0.1327,1.5189,1.4646,0.0000
620,31000,166.5,38.533,-24.411,-0.0027,-0.0006,-0.0012,0.1923,1.5024,1.4925,-0.0003
640,32000,171.6,30.752,-27.951,-0.0025,-0.0008,-0.0018,0.1010,1.5073,1.4896,0.0000
660,33000,176.7,22.787,-21.738,-0.0024,-0.0007,-0.0028,0.0828,1.5025,1.4705,0.0003
680,34000,181.9,30.244,-22.838,-0.0033,-0.0011,-0.0011,0.1033,1.5022,1.4735,0.0000
700,35000,187.0,36.804,-20.728,-0.0018,-0.0008,-0.0013,0.1080,1.5064,1.4740,0.0006
720,36000,192.0,30.676,-21.863,-0.0022,-0.0007,-0.0011,0.0970,1.5025,1.4492,0.0001
740,37000,197.2,35.325,-20.172,-0.0022,-0.0009,-0.0010,0.1358,1.5032,1.4766,0.0006
760,38000,202.4,35.003,-22.217,-0.0018,-0.0007,-0.0012,0.0932,1.4911,1.4630,0.0001
780,39000,207.6,30.487,-18.725,-0.0018,-0.0009,-0.0023,0.1235,1.5078,1.4750,0.0003
800,,,,,,,,,,,
800,40000,214.9,23.364,-19.924,-0.0023,-0.0006,-0.0013,0.0641,1.4856,1.4606,0.0001
820,41000,219.9,33.688,-24.762,-0.0025,-0.0009,-0.0011,0.1186,1.4635,1.4478,0.0003
840,42000,225.1,18.727,-22.270,-0.0024,-0.0010,-0.0026,0.0976,1.4799,1.4304,0.0000
860,43000,230.2,26.042,-15.836,-0.0018,-0.0008,-0.0009,0.0863,1.4829,1.4693,0.0002
880,44000,235.3,29.417,-17.895,-0.0019,-0.0014,-0.0014,0.0880,1.4880,1.4662,0.0006
900,45000,240.4,31.934,-19.620,-0.0022,-0.0013,-0.0015,0.1421,1.4729,1.4758,0.0002
920,46000,245.6,33.794,-25.441,-0.0013,-0.0013,-0.0014,0.1581,1.4827,1.4513,0.0006
940,47000,250.7,38.406,-24.183,-0.0024,-0.0009,-0.0011,0.1217,1.4867,1.4658,-0.0001
960,48000,255.7,24.975,-20.880,-0.0021,-0.0014,-0.0016,0.0849,1.4846,1.4619,0.0008
980,49000,260.8,35.472,-24.159,-0.0019,-0.0012,-0.0005,0.1081,1.4705,1.4497,0.0002
1000,,,,,,,,,,,
1000,50000,268.0,33.257,-26.146,-0.0019,-0.0010,-0.0015,0.1268,1.4881,1.4631,0.0002
1020,51000,273.0,25.963,-19.060,-0.0023,-0.0017,-0.0019,0.1063,1.4949,1.4788,0.0008
1040,52000,278.4,33.163,-24.658,-0.0019,-0.0019,-0.0009,0.0933,1.4926,1.4856,0.0009
1060,53000,283.6,27.405,-21.462,-0.0015,-0.0012,-0.0017,0.0946,1.4611,1.4444,0.0006
1080,54000,288.9,30.408,-18.491,-0.0016,-0.0008,-0.0009,0.1035,1.4084,1.4649,0.0006
1100,55000,294.1,44.238,-28.376,-0.0015,-0.0010,-0.0016,0.2308,1.4164,1.4697,-0.0000
1120,56000,299.3,37.119,-20.128,-0.0021,-0.0010,-0.0010,0.1270,1.4151,1.4700,0.0003
1140,57000,304.5,35.471,-23.250,-0.0021,-0.0007,-0.0012,0.1223,1.4146,1.4822,-0.0000
1160,58000,309.5,33.555,-20.578,-0.0017,-0.0006,-0.0012,0.0970,1.4194,1.4671,-0.0002
1180,59000,314.6,30.249,-21.863,-0.0018,-0.0011,-0.0014,0.0959,1.4208,1.4701,-0.0003
1200,,,,,,,,,,,
1200,60000,321.9,43.415,-24.088,-0.0018,-0.0007,-0.0016,0.1498,1.4051,1.4770,0.0000
1220,61000,327.0,37.711,-26.481,-0.0015,-0.0014,-0.0022,0.0842,1.4208,1.4684,0.0001
1240,62000,332.1,28.114,-23.153,-0.0023,-0.0005,-0.0020,0.1318,1.3916,1.4726,0.0003
1260,63000,337.2,29.589,-22.054,-0.0024,-0.0006,-0.0017,0.1158,1.3937,1.4776,0.0003
1280,64000,342.4,31.352,-20.433,-0.0017,-0.0012,-0.0015,0.1072,1.4136,1.4703,-0.0000
1300,65000,347.5,31.925,-19.822,-0.0025,-0.0006,-0.0020,0.1565,1.4022,1.4825,-0.0001
1320,66000,352.6,26.013,-21.559,-0.0023,-0.0005,-0.0016,0.0986,1.3886,1.4768,-0.0000
1340,67000,357.8,18.331,-14.797,-0.0018,-0.0011,-0.0015,0.0893,1.4066,1.4572,-0.0002
1360,68000,363.0,20.897,-19.635,-0.0024,-0.0012,-0.0016,0.1285,1.4067,1.4317,0.0002
1380,69000,368.0,18.716,-22.728,-0.0028,-0.0011,-0.0018,0.0721,1.4091,1.4341,-0.0000
1400,,,,,,,,,,,
1400,70000,375.3,19.796,-19.928,-0.0021,-0.0010,-0.0013,0.0907,1.4181,1.4341,0.0005
1420,71000,380.3,15.606,-30.416,-0.0017,-0.0007,-0.0011,0.0673,1.4212,1.4038,0.0003
