episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
1360,68000,268.5,183.9325,-34.2296,-0.0013,0.1317,2.1212,0.0002,nan
1380,69000,272.2,170.1739,-24.2144,-0.0013,0.0820,2.1407,0.0000,nan
1400,,,,,,,,,
1400,70000,277.4,186.9040,-21.1432,-0.0011,0.0818,2.1386,0.0003,nan
1420,71000,280.9,189.4803,-33.0302,-0.0012,0.1001,2.1242,0.0003,nan
1440,72000,284.6,170.5427,-27.9932,-0.0012,0.0963,2.1241,0.0001,nan
1460,73000,288.2,168.2548,-18.2225,-0.0009,0.0709,2.1311,0.0004,nan
1480,74000,292.0,176.6897,-29.1885,-0.0014,0.1014,2.1339,0.0002,nan
1500,,,,,,,,,
1500,75000,297.3,158.5403,-26.1503,-0.0016,0.0744,2.1273,0.0007,nan
1520,76000,301.0,149.6626,-19.9569,-0.0012,0.1161,2.1079,0.0001,nan
1540,77000,304.7,152.4390,-28.9656,-0.0014,0.0810,2.1346,0.0004,nan
1560,78000,308.3,226.0024,-22.9404,-0.0014,0.1392,2.1324,0.0001,nan
1580,79000,312.0,190.9677,-27.2595,-0.0014,0.1110,2.1185,0.0001,nan
1600,,,,,,,,,
1600,80000,317.5,187.7974,-24.4766,-0.0013,0.1242,2.1094,0.0004,nan
1620,81000,321.1,173.7804,-34.1556,-0.0011,0.1459,2.0984,0.0002,nan
1640,82000,324.6,201.4647,-27.0311,-0.0012,0.1107,2.0908,0.0001,nan
1660,83000,328.3,230.9988,-25.4029,-0.0012,0.1302,2.0997,0.0001,nan
1680,84000,331.9,188.6813,-21.1552,-0.0012,0.1065,2.1178,0.0001,nan
1700,,,,,,,,,
1700,85000,337.2,208.2179,-25.2548,-0.0014,0.0859,2.1051,0.0000,nan
1720,86000,340.8,208.7002,-25.8272,-0.0014,0.1214,2.1066,0.0001,nan
1740,87000,344.6,190.3581,-24.8474,-0.0013,0.0957,2.0906,0.0000,nan
1760,88000,348.2,235.7618,-34.7235,-0.0016,0.1557,2.0929,0.0004,nan
1780,89000,351.9,198.5111,-20.5560,-0.0014,0.0883,2.0816,-0.0000,nan
1800,,,,,,,,,
1800,90000,357.1,213.9778,-25.7734,-0.0015,0.1622,2.0750,0.0002,nan
1820,91000,360.7,219.0535,-30.6910,-0.0013,0.0838,2.0639,0.0002,nan
1840,92000,364.4,229.0681,-30.0322,-0.0014,0.1299,2.0673,-0.0002,nan
1860,93000,368.2,207.4006,-30.9707,-0.0016,0.1160,2.0420,-0.0002,nan
1880,94000,371.9,211.9080,-28.0394,-0.0012,0.1236,2.0673,0.0002,nan
1900,,,,,,,,,
1900,95000,377.1,214.5426,-24.4952,-0.0012,0.1300,2.0546,0.0005,nan
1920,96000,380.7,197.0187,-32.2139,-0.0010,0.1540,2.0720,0.0000,nan
1940,97000,384.6,238.2025,-31.4978,-0.0015,0.1174,2.0590,0.0004,nan
1960,98000,388.2,220.4324,-34.6531,-0.0014,0.1534,2.0554,0.0002,nan
1980,99000,391.8,254.7218,-27.6059,-0.0014,0.1427,2.0390,0.0000,nan
2000,,,,,,,,,
2000,100000,397.0,233.3457,-25.4429,-0.0010,0.1402,2.0646,-0.0000,nan
2020,101000,400.5,210.8716,-28.8979,-0.0014,0.0986,2.0758,-0.0001,nan
2040,102000,404.1,194.7166,-29.0562,-0.0019,0.1774,2.0459,0.0008,nan
2060,103000,407.7,203.2302,-33.3847,-0.0022,0.1403,2.0266,0.0001,nan
2080,104000,411.3,208.5822,-33.0923,-0.0013,0.1348,2.0477,0.0004,nan
2100,,,,,,,,,
2100,105000,416.4,238.1973,-28.3248,-0.0013,0.1759,2.0366,-0.0000,nan
2120,106000,420.1,250.0972,-25.7430,-0.0012,0.1473,2.0370,-0.0000,nan
2140,107000,423.8,181.4163,-28.1285,-0.0017,0.1021,2.0085,0.0005,nan
2160,108000,427.4,219.2100,-31.5594,-0.0017,0.1402,2.0361,0.0006,nan
2180,109000,431.1,204.5394,-25.1037,-0.0018,0.1022,2.0488,0.0004,nan
2200,,,,,,,,,
2200,110000,436.2,192.5459,-31.8919,-0.0015,0.1305,2.0322,-0.0001,nan
2220,111000,439.8,249.6407,-30.5520,-0.0014,0.1560,2.0362,0.0005,nan
2240,112000,443.4,220.7873,-28.6653,-0.0015,0.1167,2.0283,0.0002,nan
2260,113000,447.0,209.4808,-28.0186,-0.0020,0.1375,2.0215,0.0004,nan
2280,114000,450.5,236.1956,-22.8191,-0.0016,0.1390,2.0167,0.0001,nan
2300,,,,,,,,,
2300,115000,455.6,235.6601,-28.2812,-0.0016,0.1507,2.0352,0.0004,nan
2320,116000,459.3,201.1331,-28.7458,-0.0015,0.1724,2.0242,0.0005,nan
2340,117000,463.0,263.4552,-27.4085,-0.0013,0.1471,2.0531,0.0002,nan
2360,118000,466.7,241.0761,-36.6946,-0.0016,0.1118,2.0307,0.0005,nan
2380,119000,470.5,249.2711,-27.7797,-0.0017,0.1481,2.0418,0.0002,nan
2400,,,,,,,,,
2400,120000,475.8,181.5355,-29.7752,-0.0012,0.1411,2.0496,-0.0000,nan
2420,121000,479.3,246.9975,-26.0766,-0.0015,0.1125,2.0654,0.0002,nan
2440,122000,482.9,217.9217,-23.8511,-0.0016,0.1314,2.0636,0.0002,nan
2460,123000,486.7,229.4179,-27.1707,-0.0014,0.1392,2.0478,0.0002,nan
2480,124000,490.3,199.4026,-29.4162,-0.0014,0.1082,2.0725,0.0002,nan
2500,,,,,,,,,
2500,125000,495.4,227.8366,-29.7170,-0.0017,0.1818,2.0557,0.0003,nan
2520,126000,499.1,251.1869,-34.9589,-0.0015,0.1655,2.0648,-0.0001,nan
2540,127000,502.7,230.0887,-27.3404,-0.0016,0.0721,2.0530,0.0003,nan
2560,128000,506.2,187.1675,-25.9262,-0.0012,0.0818,2.0641,0.0000,nan
2580,129000,509.9,229.4085,-29.5850,-0.0012,0.1127,2.0675,0.0002,nan
2600,,,,,,,,,
2600,130000,515.1,206.6305,-24.9430,-0.0013,0.1257,2.0531,0.0001,nan
2620,131000,518.7,282.0999,-29.6571,-0.0013,0.1783,2.0397,0.0005,nan
2640,132000,522.4,248.1283,-34.2984,-0.0011,0.0952,2.0486,0.0000,nan
2660,133000,526.1,241.4483,-29.9931,-0.0013,0.1646,2.0384,0.0003,nan
2680,134000,529.7,258.2781,-33.4704,-0.0013,0.1265,2.0303,-0.0000,nan
2700,,,,,,,,,
2700,135000,534.9,184.6019,-30.7116,-0.0018,0.1349,2.0397,0.0005,nan
