episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.1,5.876,-60.454,-0.0063,-0.0031,-0.0043,0.3081,1.6015,1.5982,-0.0004
40,2000,10.3,7.546,-54.260,-0.0025,-0.0015,-0.0025,0.1849,1.5871,1.5909,0.0001
60,3000,15.3,7.619,-20.926,-0.0024,-0.0009,-0.0027,0.0709,1.5669,1.5780,0.0008
80,4000,20.4,6.476,-23.682,-0.0023,-0.0009,-0.0027,0.0590,1.5451,1.5609,0.0003
100,5000,25.7,7.733,-12.732,-0.0017,-0.0007,-0.0017,0.0547,1.5306,1.5505,0.0003
120,6000,30.9,15.628,-12.073,-0.0018,-0.0017,-0.0015,0.0310,1.5260,1.5462,0.0001
140,7000,36.1,8.820,-12.270,-0.0018,-0.0055,-0.0028,0.0150,1.5522,1.5261,0.0011
160,8000,41.2,10.411,-9.066,-0.0021,-0.0033,-0.0013,0.0080,1.5628,1.5131,-0.0002
180,9000,46.3,15.418,-15.054,-0.0020,-0.0014,-0.0005,0.0074,1.5732,1.4927,0.0005
200,,,,,,,,,,,
200,10000,53.7,16.751,-17.549,-0.0022,-0.0014,-0.0009,0.0052,1.5577,1.5147,0.0006
220,11000,58.7,14.478,-10.542,-0.0021,-0.0014,-0.0016,0.0046,1.5657,1.5106,0.0003
240,12000,63.8,15.092,-13.630,-0.0018,-0.0019,-0.0022,0.0048,1.5475,1.5092,0.0007
260,13000,68.9,17.816,-13.627,-0.0017,-0.0018,-0.0016,0.0048,1.5472,1.5079,0.0001
280,14000,73.9,17.057,-16.722,-0.0021,-0.0012,-0.0009,0.0058,1.5421,1.4911,0.0005
300,15000,79.0,20.723,-15.271,-0.0019,-0.0009,-0.0015,0.0052,1.5333,1.4895,0.0002
320,16000,84.1,28.112,-20.608,-0.0018,-0.0011,-0.0011,0.0084,1.5238,1.4890,0.0001
340,17000,89.4,23.823,-17.632,-0.0021,-0.0011,-0.0023,0.0063,1.5186,1.4794,-0.0002
360,18000,94.5,23.802,-19.804,-0.0024,-0.0007,-0.0022,0.0103,1.5081,1.4899,0.0001
380,19000,99.8,31.304,-19.141,-0.0030,-0.0013,-0.0011,0.0073,1.4956,1.4792,0.0006
400,,,,,,,,,,,
400,20000,107.2,40.004,-23.374,-0.0017,-0.0010,-0.0011,0.0112,1.5097,1.4761,0.0001
420,21000,112.3,33.562,-19.695,-0.0018,-0.0002,-0.0014,0.0119,1.5094,1.4858,0.0002
440,22000,117.6,30.270,-17.102,-0.0018,-0.0008,-0.0014,0.0091,1.5008,1.4897,0.0002
460,23000,122.8,21.726,-15.464,-0.0019,-0.0011,-0.0018,0.0078,1.5186,1.4941,-0.0001
480,24000,128.0,26.975,-16.948,-0.0021,-0.0016,-0.0012,0.0096,1.5080,1.4978,-0.0000
500,25000,133.2,20.728,-31.051,-0.0015,-0.0011,-0.0015,0.0085,1.5134,1.5016,-0.0002
520,26000,138.3,31.517,-24.101,-0.0019,-0.0010,-0.0009,0.0075,1.4875,1.5024,0.0006
540,27000,143.5,33.586,-26.385,-0.0024,-0.0005,-0.0021,0.0096,1.4790,1.4791,-0.0002
560,28000,148.4,29.204,-23.038,-0.0020,-0.0007,-0.0015,0.0115,1.4720,1.4805,-0.0001
580,29000,153.6,40.928,-26.966,-0.0020,-0.0007,-0.0012,0.0117,1.4677,1.4726,0.0002
600,,,,,,,,,,,
600,30000,161.0,47.033,-25.691,-0.0023,-0.0006,-0.0014,0.0152,1.4573,1.4847,0.0002
620,31000,166.0,41.026,-28.355,-0.0013,-0.0008,-0.0004,0.0143,1.4407,1.4700,-0.0001
640,32000,171.2,45.657,-26.246,-0.0023,-0.0012,-0.0006,0.0156,1.4445,1.4920,-0.0001
660,33000,176.3,44.534,-27.581,-0.0022,-0.0013,-0.0007,0.0132,1.4249,1.4755,-0.0001
680,34000,181.5,46.496,-28.720,-0.0019,-0.0010,-0.0014,0.0111,1.4131,1.4758,0.0004
700,35000,186.6,30.506,-19.186,-0.0020,-0.0011,-0.0017,0.0132,1.4383,1.4895,0.0001
720,36000,191.9,40.378,-26.945,-0.0019,-0.0010,-0.0019,0.0135,1.4241,1.4880,0.0001
740,37000,197.0,22.425,-32.411,-0.0018,-0.0007,-0.0020,0.0113,1.4077,1.4747,0.0006
760,38000,202.1,19.606,-47.541,-0.0021,-0.0011,-0.0015,0.0107,1.4181,1.4391,-0.0001
780,39000,207.3,24.731,-25.609,-0.0024,-0.0005,-0.0023,0.0088,1.4064,1.4477,0.0001
800,,,,,,,,,,,
800,40000,214.8,56.072,-37.579,-0.0014,-0.0014,-0.0024,0.0183,1.4236,1.4666,-0.0002
820,41000,219.9,39.320,-21.773,-0.0015,-0.0008,-0.0027,0.0146,1.4570,1.4933,0.0010
840,42000,225.1,55.147,-30.389,-0.0019,-0.0008,-0.0024,0.0182,1.4026,1.5059,0.0004
860,43000,230.2,43.658,-26.253,-0.0014,-0.0005,-0.0028,0.0181,1.4240,1.4987,0.0000
880,44000,235.5,36.216,-21.469,-0.0018,-0.0008,-0.0026,0.0116,1.4027,1.5030,0.0002
900,45000,240.8,17.772,-17.109,-0.0022,-0.0007,-0.0016,0.0150,1.4182,1.4918,0.0001
920,46000,245.9,23.530,-26.519,-0.0021,-0.0016,-0.0020,0.0138,1.4224,1.4783,-0.0000
940,47000,251.0,14.538,-17.276,-0.0019,-0.0008,-0.0013,0.0128,1.4121,1.4503,-0.0002
960,48000,256.2,33.889,-22.770,-0.0015,-0.0014,-0.0004,0.0214,1.4118,1.4426,0.0009
980,49000,261.5,25.415,-21.884,-0.0016,-0.0012,-0.0007,0.0130,1.4164,1.4649,0.0002
1000,,,,,,,,,,,
