episode,algo,seed,episode_reward,coverage_efficiency,collision_rate,actor_loss,critic_loss,entropy,eval_episode_reward,eval_coverage_efficiency,eval_collision_rate
1,ippo,42,-133.9544403739614,1.0,0.0,-0.003406679374165833,306.2823715209961,1.6036846563220024,-132.99968889144208,1.0,0.0
2,ippo,42,-126.70608589992551,1.0,0.0,-0.0008417267672484741,257.89104652404785,1.6040188372135162
3,ippo,42,-140.66423908424937,1.0,0.0,-0.0037328839243855327,337.1199760437012,1.5983828380703926
4,ippo,42,-169.42743504815206,1.0,0.0,-0.007510016963351518,522.2132892608643,1.5956606343388557
5,ippo,42,-125.36645502910045,1.0,0.0,-0.0009948606457328424,259.98382091522217,1.6003832966089249
6,ippo,42,-134.79154353588842,1.0,0.0,-0.00238847998843994,282.6866760253906,1.5908152014017105
7,ippo,42,-163.7822480850809,1.0,0.0,-0.0016459671896882355,430.97566413879395,1.577023208141327
8,ippo,42,-127.75851339641487,1.0,0.0,-0.0029741881298832595,251.0389518737793,1.5791845172643661
9,ippo,42,-120.14384645237932,1.0,0.0,-0.003925949607946677,199.423189163208,1.5772945135831833
10,ippo,42,-118.91281507915436,1.0,0.0,-0.006555752799613401,196.5237112045288,1.5332271829247475
11,ippo,42,-120.3246548865445,1.0,0.0,-0.007403830473776907,203.68279838562012,1.5394800305366516
12,ippo,42,-125.85213521481093,1.0,0.0,-0.005945203825831413,223.4557704925537,1.477973312139511
13,ippo,42,-103.10057772932038,1.0,0.0,-0.005972331127850339,129.60718488693237,1.5315381735563278
14,ippo,42,-114.60433554710974,1.0,0.0,-0.002409174485364929,154.3515682220459,1.5158802047371864
15,ippo,42,-114.4719927793391,1.0,0.0,-0.0035376407322473824,119.69874620437622,1.4957274869084358
16,ippo,42,-113.97765925212252,1.0,0.0,-0.007612337300088257,180.7849349975586,1.4822422415018082
17,ippo,42,-117.13263746245585,1.0,0.0,-0.0008576205582357943,139.00686025619507,1.4753002598881721
18,ippo,42,-121.53660072711436,1.0,0.0,-0.005744247522670776,175.77261543273926,1.453823797404766
19,ippo,42,-105.94045874282064,1.0,0.0,-0.0027398811653256416,127.80436849594116,1.5076256841421127
20,ippo,42,-99.02384562610047,1.0,0.0,-0.003717331652296707,127.17125225067139,1.501845546066761
21,ippo,42,-106.94527596026936,1.0,0.0,-0.004114515148103237,158.1519594192505,1.507660910487175
22,ippo,42,-106.97474103006851,1.0,0.0,-0.006233569118194282,179.83378219604492,1.4740463197231293
23,ippo,42,-116.91470705328244,1.0,0.0,-0.003178960323566571,271.2144556045532,1.4892635345458984
24,ippo,42,-114.49912484369415,1.0,0.0,-0.001110850258555729,242.5752944946289,1.4807361513376236
25,ippo,42,-130.0857321080942,1.0,0.0,-0.004905281777610071,305.0380573272705,1.484751246869564
26,ippo,42,-112.80262457750666,1.0,0.0,-0.003963254304835573,279.10037899017334,1.4928662851452827
27,ippo,42,-97.95705894446814,1.0,0.0,-0.008193898691388313,257.8358039855957,1.4584710523486137
28,ippo,42,-99.16754921242384,1.0,0.0,-0.009403961412317585,224.30474376678467,1.4212897717952728
29,ippo,42,-97.86983069149555,1.0,0.0,-0.0059557716303970665,241.8723602294922,1.3756370767951012
30,ippo,42,-99.96734358420855,1.0,0.0,-0.0069078924134373665,237.97604274749756,1.4122396931052208
31,ippo,42,-101.4579274117826,1.0,0.0,-0.005458694402477704,137.29058742523193,1.3536920696496964
32,ippo,42,-107.2190959645545,1.0,0.0,-0.008127647044602782,186.5588502883911,1.3825761005282402
33,ippo,42,-117.41814721829532,1.0,0.0,8.58636194607243e-05,277.8948812484741,1.3485370427370071
34,ippo,42,-103.56560409296944,1.0,0.0,-0.00355203083017841,251.08502101898193,1.3618861809372902
35,ippo,42,-117.68139410661504,1.0,0.0,-0.0023794820881448686,202.49462699890137,1.3784082904458046
36,ippo,42,-116.54521602077963,1.0,0.0,-0.004143664846196771,226.89178562164307,1.4095319509506226
37,ippo,42,-105.45788840836234,1.0,0.0,-0.007897497140220366,209.06786441802979,1.4055144563317299
38,ippo,42,-107.24336826594167,1.0,0.0,-0.003222739353077486,204.91366386413574,1.3727271631360054
39,ippo,42,-95.39453070555996,1.0,0.0,-0.0028721954440698028,178.0963134765625,1.415961280465126
40,ippo,42,-98.21297945576612,1.0,0.0,-0.008249534876085818,188.5064001083374,1.3603589311242104
41,ippo,42,-99.14758906729014,1.0,0.0,-0.00298184878192842,218.3667402267456,1.3776023238897324
42,ippo,42,-103.95157695649696,1.0,0.0,-0.004450720327440649,204.09020709991455,1.3462095707654953
43,ippo,42,-97.30972299014357,1.0,0.0,-0.0014997119822055538,176.04239749908447,1.3937323540449142
44,ippo,42,-109.17658712718097,1.0,0.0,-0.003888119710609317,179.2210750579834,1.381745345890522
45,ippo,42,-120.45803393069224,1.0,0.0,-0.0007346877828240395,181.67043685913086,1.3457088097929955
46,ippo,42,-108.31400226583463,1.0,0.0,-0.0011095463996753097,231.46200561523438,1.3716411963105202
47,ippo,42,-94.55044435172057,1.0,0.0,-0.0030759034225411597,164.1524658203125,1.383597806096077
48,ippo,42,-106.36843997897913,1.0,0.0,-0.003896100854035467,172.62927627563477,1.326297253370285
49,ippo,42,-105.08187290715406,1.0,0.0,-0.0014928399687050842,166.13327741622925,1.354416973888874
50,ippo,42,-102.3281581040324,1.0,0.0,0.0004986283020116389,161.5677309036255,1.3865894824266434,-86.41289998262468,1.0,0.0
