episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.6,39.6024,-24.4768,-0.0041,0.3052,2.2919,0.0003,nan
40,2000,7.2,39.7639,-26.4200,-0.0019,0.4342,2.2872,0.0005,nan
60,3000,10.9,36.6213,-20.7639,-0.0012,0.3636,2.2863,0.0001,nan
80,4000,14.6,77.3152,-33.1978,-0.0013,0.7177,2.2850,0.0000,nan
100,,,,,,,,,
100,5000,19.9,54.2495,-18.6907,-0.0010,0.3514,2.2789,0.0001,nan
120,6000,23.5,72.3210,-20.3648,-0.0017,0.3565,2.2768,0.0004,nan
140,7000,27.2,43.3857,-33.3457,-0.0020,0.1927,2.2713,0.0001,nan
160,8000,30.9,62.4073,-30.3003,-0.0017,0.1958,2.2728,-0.0001,nan
180,9000,34.5,62.6948,-22.2962,-0.0014,0.2014,2.2678,0.0001,nan
200,,,,,,,,,
200,10000,39.8,81.5103,-21.2661,-0.0011,0.3595,2.2549,0.0002,nan
220,11000,43.3,99.2867,-32.3733,-0.0015,0.3189,2.2583,0.0002,nan
240,12000,47.0,104.1226,-25.3070,-0.0011,0.1887,2.2396,0.0001,nan
260,13000,50.6,114.1374,-18.2684,-0.0013,0.1589,2.2476,0.0004,nan
280,14000,54.2,79.5269,-18.2695,-0.0011,0.1539,2.2314,0.0002,nan
300,,,,,,,,,
300,15000,59.5,126.2731,-27.7408,-0.0016,0.1562,2.2299,-0.0002,nan
320,16000,63.1,128.1891,-20.7971,-0.0012,0.2042,2.2306,0.0001,nan
340,17000,66.8,132.5703,-20.5888,-0.0018,0.1411,2.2290,0.0001,nan
360,18000,70.3,124.7967,-32.5942,-0.0012,0.1001,2.2230,0.0002,nan
380,19000,74.1,143.2484,-18.8174,-0.0010,0.0999,2.2202,0.0003,nan
400,,,,,,,,,
400,20000,79.4,141.2629,-24.9933,-0.0013,0.0752,2.2172,0.0001,nan
420,21000,82.9,122.5369,-20.2423,-0.0012,0.1099,2.2111,0.0003,nan
440,22000,86.5,86.1082,-33.0714,-0.0015,0.1079,2.2133,0.0000,nan
460,23000,90.2,90.1070,-28.3265,-0.0015,0.0851,2.1995,0.0002,nan
480,24000,93.8,140.8948,-22.9956,-0.0016,0.0962,2.2019,0.0007,nan
500,,,,,,,,,
500,25000,99.1,134.3405,-30.5497,-0.0012,0.0848,2.1966,0.0002,nan
520,26000,102.7,122.1438,-18.9813,-0.0013,0.1131,2.1895,0.0001,nan
540,27000,106.4,166.6964,-24.1277,-0.0010,0.1280,2.1984,0.0002,nan
560,28000,110.1,134.2278,-24.4329,-0.0014,0.1277,2.1545,0.0000,nan
580,29000,113.9,167.9029,-21.2286,-0.0011,0.1341,2.1630,-0.0000,nan
600,,,,,,,,,
600,30000,119.1,140.6519,-24.0881,-0.0012,0.0843,2.1591,0.0000,nan
620,31000,122.9,191.8193,-17.9112,-0.0016,0.1269,2.1594,0.0006,nan
640,32000,126.5,182.6125,-25.4175,-0.0013,0.1001,2.1564,0.0004,nan
660,33000,130.2,156.8930,-23.1694,-0.0015,0.1076,2.1521,-0.0000,nan
680,34000,134.0,187.0781,-32.5779,-0.0014,0.1099,2.1678,-0.0000,nan
700,,,,,,,,,
700,35000,139.2,119.2877,-19.9173,-0.0017,0.0921,2.1409,-0.0001,nan
720,36000,142.9,212.0907,-25.8056,-0.0014,0.1063,2.1634,0.0002,nan
740,37000,146.5,144.6500,-30.9363,-0.0016,0.1026,2.1329,0.0007,nan
760,38000,150.1,196.3005,-25.9204,-0.0013,0.1120,2.1507,0.0001,nan
780,39000,153.7,157.5539,-23.9096,-0.0016,0.0975,2.1513,0.0003,nan
800,,,,,,,,,
800,40000,158.9,159.6932,-22.4066,-0.0013,0.0819,2.1486,0.0000,nan
820,41000,162.6,140.1470,-30.7305,-0.0015,0.1030,2.1274,0.0002,nan
840,42000,166.2,165.9284,-28.0269,-0.0017,0.1247,2.1656,-0.0000,nan
860,43000,169.8,148.8514,-20.2249,-0.0018,0.0576,2.1473,0.0005,nan
880,44000,173.6,153.6759,-21.9723,-0.0019,0.0940,2.1602,0.0002,nan
900,,,,,,,,,
900,45000,178.7,144.2139,-29.6223,-0.0011,0.0883,2.1467,0.0003,nan
920,46000,182.4,136.3087,-34.5478,-0.0013,0.0655,2.1549,0.0001,nan
940,47000,186.0,144.8146,-21.6678,-0.0015,0.1039,2.1560,-0.0001,nan
960,48000,189.6,158.9955,-24.7693,-0.0013,0.0759,2.1571,0.0004,nan
980,49000,193.3,176.1714,-28.6489,-0.0013,0.1222,2.1378,0.0002,nan
1000,,,,,,,,,
1000,50000,198.6,152.1463,-24.5361,-0.0015,0.0878,2.1341,0.0001,nan
1020,51000,202.1,169.9070,-25.9256,-0.0017,0.0875,2.1422,-0.0000,nan
1040,52000,205.8,193.4946,-22.4380,-0.0010,0.1342,2.1436,0.0004,nan
1060,53000,209.4,186.7268,-26.9328,-0.0014,0.1243,2.1130,0.0003,nan
1080,54000,213.1,165.4408,-22.5720,-0.0013,0.0867,2.1336,0.0000,nan
1100,,,,,,,,,
1100,55000,218.3,228.7033,-22.3106,-0.0012,0.1121,2.1409,-0.0002,nan
1120,56000,221.9,203.8136,-31.1249,-0.0017,0.1212,2.1256,-0.0001,nan
1140,57000,225.5,160.3939,-24.2278,-0.0014,0.1271,2.1382,0.0003,nan
1160,58000,229.1,178.5428,-25.9479,-0.0011,0.1126,2.1260,-0.0001,nan
1180,59000,232.7,180.4628,-28.4470,-0.0015,0.1209,2.1222,0.0003,nan
1200,,,,,,,,,
1200,60000,238.0,167.2836,-26.5237,-0.0016,0.1306,2.1257,0.0001,nan
1220,61000,241.5,206.9574,-21.4479,-0.0011,0.1285,2.1174,0.0006,nan
1240,62000,245.2,155.6186,-17.7948,-0.0011,0.0677,2.1436,0.0001,nan
1260,63000,248.8,165.8719,-22.1637,-0.0016,0.1297,2.1237,0.0004,nan
1280,64000,252.3,175.1783,-30.2618,-0.0012,0.0990,2.1299,0.0005,nan
1300,,,,,,,,,
1300,65000,257.6,197.8316,-35.2055,-0.0020,0.1111,2.1176,0.0000,nan
1320,66000,261.2,195.9092,-22.8942,-0.0013,0.0820,2.0979,-0.0000,nan
1340,67000,264.8,202.4366,-31.4318,-0.0012,0.1355,2.1049,0.0000,nan
1360,68000,268.5,174.8116,-36.1183,-0.0015,0.0859,2.1033,0.0002,nan
1380,69000,272.2,150.3621,-20.8435,-0.0013,0.0823,2.1102,-0.0000,nan
1400,,,,,,,,,
1400,70000,277.5,205.0528,-23.3807,-0.0012,0.1122,2.1101,0.0003,nan
1420,71000,281.1,219.2645,-36.1138,-0.0013,0.1202,2.1146,0.0004,nan
1440,72000,284.8,169.4685,-31.0908,-0.0012,0.0792,2.1049,0.0002,nan
1460,73000,288.5,181.9671,-23.5800,-0.0012,0.1079,2.0909,0.0003,nan
1480,74000,292.1,178.0296,-33.9880,-0.0012,0.1231,2.0903,0.0002,nan
1500,,,,,,,,,
1500,75000,297.3,175.4394,-24.9039,-0.0018,0.0808,2.0946,0.0005,nan
1520,76000,301.0,170.2295,-19.7111,-0.0013,0.1111,2.0966,0.0001,nan
1540,77000,304.7,154.7436,-29.6624,-0.0013,0.1330,2.1095,0.0001,nan
1560,78000,308.4,228.3256,-22.9526,-0.0013,0.1548,2.1101,0.0002,nan
1580,79000,312.0,221.2247,-26.0936,-0.0016,0.1385,2.0760,0.0002,nan
1600,,,,,,,,,
1600,80000,317.4,178.2774,-20.9475,-0.0014,0.0978,2.0727,0.0005,nan
1620,81000,321.0,174.5518,-33.9905,-0.0015,0.0985,2.0751,0.0001,nan
1640,82000,324.6,237.1191,-33.0690,-0.0009,0.1562,2.0639,0.0002,nan
1660,83000,328.3,214.9290,-28.6112,-0.0014,0.0980,2.0732,0.0001,nan
1680,84000,331.9,185.3904,-23.3533,-0.0016,0.0994,2.0802,0.0004,nan
1700,,,,,,,,,
1700,85000,337.2,220.0540,-27.7022,-0.0015,0.1297,2.0815,0.0005,nan
1720,86000,340.8,218.6561,-26.8352,-0.0014,0.1308,2.0934,0.0003,nan
1740,87000,344.6,170.6124,-25.8717,-0.0014,0.1236,2.0821,0.0000,nan
1760,88000,348.2,208.5877,-29.8947,-0.0013,0.0984,2.0889,0.0004,nan
1780,89000,351.8,275.5558,-28.0425,-0.0013,0.2076,2.0936,0.0000,nan
1800,,,,,,,,,
1800,90000,357.1,211.1445,-28.3475,-0.0012,0.1289,2.0743,0.0002,nan
1820,91000,360.6,203.3514,-28.9503,-0.0014,0.0797,2.0506,-0.0001,nan
1840,92000,364.2,240.2960,-34.0748,-0.0012,0.1112,2.0615,-0.0000,nan
1860,93000,367.9,229.2576,-32.1288,-0.0012,0.1209,2.0468,0.0002,nan
1880,94000,371.4,190.3864,-28.7099,-0.0012,0.1023,2.0665,-0.0001,nan
1900,,,,,,,,,
1900,95000,376.6,211.4759,-25.4141,-0.0015,0.1413,2.0607,0.0003,nan
1920,96000,380.3,165.0169,-30.2753,-0.0014,0.1279,2.0448,0.0000,nan
1940,97000,383.9,241.9737,-32.2630,-0.0014,0.1719,2.0487,0.0001,nan
1960,98000,387.5,195.8673,-31.9233,-0.0014,0.1106,2.0675,-0.0002,nan
1980,99000,391.3,257.6541,-27.8646,-0.0012,0.1239,2.0623,0.0003,nan
2000,,,,,,,,,
2000,100000,396.6,223.2186,-27.9696,-0.0013,0.1073,2.0630,-0.0000,nan
2020,101000,400.2,216.7293,-31.4477,-0.0009,0.1032,2.0558,0.0000,nan
2040,102000,403.9,194.7230,-25.1996,-0.0013,0.1143,2.0506,0.0001,nan
2060,103000,407.6,184.9515,-33.0391,-0.0016,0.1326,2.0546,0.0002,nan
2080,104000,411.3,224.5821,-27.3608,-0.0018,0.1248,2.0583,0.0003,nan
2100,,,,,,,,,
2100,105000,416.6,255.1171,-28.4672,-0.0009,0.1752,2.0543,-0.0001,nan
2120,106000,420.2,226.5580,-27.9881,-0.0011,0.0885,2.0539,-0.0000,nan
2140,107000,423.9,215.7444,-35.5353,-0.0015,0.1179,2.0180,0.0002,nan
2160,108000,427.6,210.7081,-31.3371,-0.0016,0.1497,2.0504,-0.0000,nan
2180,109000,431.2,213.4319,-25.7964,-0.0015,0.1102,2.0701,0.0004,nan
2200,,,,,,,,,
2200,110000,436.5,197.2314,-31.2969,-0.0012,0.1382,2.0485,0.0006,nan
2220,111000,440.0,274.2461,-31.8176,-0.0011,0.1455,2.0474,0.0002,nan
2240,112000,443.7,207.6852,-29.1551,-0.0014,0.1367,2.0528,0.0004,nan
2260,113000,447.3,237.9587,-30.0984,-0.0009,0.1218,2.0523,0.0001,nan
2280,114000,451.0,264.0200,-29.4476,-0.0013,0.1509,2.0442,0.0001,nan
2300,,,,,,,,,
2300,115000,456.2,249.5304,-31.9295,-0.0017,0.1179,2.0560,0.0001,nan
2320,116000,459.8,208.8493,-30.6391,-0.0013,0.1413,2.0168,0.0001,nan
2340,117000,463.5,251.1858,-29.2117,-0.0016,0.1362,2.0458,0.0001,nan
2360,118000,467.2,239.4640,-31.9762,-0.0016,0.1232,2.0297,0.0001,nan
2380,119000,470.9,243.9087,-31.1202,-0.0018,0.0817,2.0359,0.0007,nan
2400,,,,,,,,,
2400,120000,476.2,207.7788,-29.3017,-0.0016,0.1503,2.0327,-0.0001,nan
2420,121000,479.8,239.4559,-26.3212,-0.0013,0.1199,2.0380,-0.0002,nan
2440,122000,483.5,226.8162,-26.6806,-0.0014,0.1114,2.0344,0.0001,nan
2460,123000,487.1,279.4869,-28.9718,-0.0015,0.1825,2.0032,0.0005,nan
2480,124000,490.9,206.1318,-29.0682,-0.0016,0.1114,2.0383,0.0003,nan
2500,,,,,,,,,
2500,125000,496.1,231.5484,-28.9372,-0.0013,0.1452,2.0218,0.0002,nan
