episode,adv_return,good_return,actor_loss,critic_loss,entropy,elapsed
20,-21.94698254936724,-71.41823552499156,-0.07532536354847252,44.497043275833136,1.6064207673072817,7.4329400062561035
40,-21.991457277417936,-25.673445245938836,-0.5145694558819135,11.19220290184021,1.6040456036726634,15.072582960128784
60,-22.187233073208482,-17.800133240280417,-0.63272223174572,3.8354260861873626,1.5993679463863373,24.46391248703003
80,-22.08821436612634,-13.992330719499147,-0.5704209412137667,2.8524021426836654,1.589864710966746,34.162198543548584
100,-18.313753561220366,-20.733353367281957,-0.5499076396226883,12.472546672821045,1.589447456598282,48.25604200363159
120,-13.31140687464038,-8.809965630260459,-0.44443709796125236,135.78128605792017,1.5513441591551809,57.864866495132446
140,-15.610618524116001,-12.420133304591372,-0.1478139721788466,47.94427680969238,1.5505260854959486,67.27375650405884
160,-13.562152612311767,-14.481284262190693,-0.27832085813085233,53.19951753616332,1.5716223120689392,77.23179388046265
180,-9.009378902467724,-9.78923927622455,-0.20387927214615048,107.4872111082077,1.5642668694257735,87.46121644973755
200,-13.333442020358342,-12.788863438387072,-0.2156250727673372,156.5155827522278,1.5473971406618752,101.7188150882721
220,-12.516101132847252,-12.969234250461744,-0.046471305870959025,29.92680841142481,1.5631950516592372,111.27222728729248
240,-18.86029932018835,-9.240228194022475,0.002356831636279824,22.397125609715783,1.5560054659843445,121.64824223518372
260,-21.906957244188522,-14.4181542673828,0.014374728128314017,4.774991583824158,1.5467742085456848,131.383526802063
280,-19.18548735557357,-15.67260179744863,-0.09594958185528714,10.248881634076435,1.5581656138102213,141.26245856285095
300,-14.024291490894976,-13.724871488922153,-0.37106328755617146,92.29366631507874,1.5578208684921266,155.00716137886047
320,-10.38008959809784,-14.318641585363295,0.04632942745405615,64.99935328454681,1.5472428170117467,164.91232991218567
340,-12.839359291063152,-14.245377317741433,-0.17983434682246296,64.50877676010131,1.5573967427015305,174.66226267814636
360,-9.119771668133328,-22.160311574154353,-0.10160163108569881,66.5752656141917,1.5533134698867797,184.71896195411682
380,18.084496226677437,-15.58441134286672,-1.224336476624012,726.8261196136474,1.5426867216825486,193.9773690700531
400,24.358919573476307,-18.33643578745556,-0.6804066366826494,313.4226206461588,1.503665417432785,207.35327982902527
420,33.54849957477825,-22.27131152497191,-1.1417594745755195,844.0129486083985,1.4022574692964553,216.18779063224792
440,23.493982897333336,-18.919943132886917,-0.05744162524739901,359.88503799438473,1.3514900048573812,225.26661658287048
460,45.42084154919896,-28.439120364006993,-0.6268400389701128,982.459080505371,1.308181057870388,233.9773690700531
480,50.39266881459865,-24.53658125858518,-0.41708336127921936,535.2099049886068,1.2625526547431947,242.89234900474548
500,41.36876125164796,-26.559498064582904,0.04152932758443058,513.8545234680175,1.2187480509281157,255.27546977996826
520,13.002515105131897,-29.89167276505311,0.26216284298958875,320.4040681549997,1.293993858135108,264.9335231781006
540,31.053145581574363,-22.6948644079985,-0.32545556500554085,562.9244110107422,1.3224087834358216,273.42060112953186
560,52.95715356695232,-26.805474550533752,-0.1320925589185208,579.8592203776042,1.2923983256022136,282.53539299964905
580,51.97821478918661,-19.882932850202288,-0.35063841643277555,667.681056213379,1.2372312515974047,291.58203887939453
600,59.20088765122782,-23.903159815969964,-0.1900933881445477,551.2945673624674,1.2436236421267193,305.11086320877075
