episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.9,46.3981,-12.4770,-0.0044,0.3434,2.2923,-0.0002,nan
40,2000,8.1,46.6104,-18.0892,-0.0016,0.4342,2.2869,0.0002,nan
60,3000,12.1,51.4805,-16.3916,-0.0014,0.6481,2.2843,0.0001,nan
80,4000,15.8,42.6922,-23.5691,-0.0015,0.5871,2.2783,0.0005,nan
100,,,,,,,,,
100,5000,21.1,77.0899,-27.0709,-0.0010,0.6065,2.2749,0.0001,nan
120,6000,24.8,96.5636,-15.0831,-0.0011,0.4021,2.2715,-0.0001,nan
140,7000,28.5,100.7118,-25.3157,-0.0015,0.2817,2.2657,0.0002,nan
160,8000,32.3,60.4170,-35.8804,-0.0012,0.2097,2.2652,-0.0000,nan
180,9000,36.1,83.5740,-28.8526,-0.0014,0.0985,2.2633,0.0001,nan
200,,,,,,,,,
200,10000,41.4,65.4560,-27.1860,-0.0016,0.0769,2.2634,-0.0001,nan
220,11000,45.0,63.5516,-40.4904,-0.0019,0.1199,2.2594,0.0004,nan
240,12000,48.6,76.6253,-26.0609,-0.0019,0.1067,2.2558,0.0003,nan
260,13000,52.4,94.1021,-27.4337,-0.0011,0.1410,2.2513,-0.0003,nan
280,14000,56.2,100.8833,-25.1403,-0.0012,0.1753,2.2458,0.0004,nan
300,,,,,,,,,
300,15000,61.4,85.8346,-26.2099,-0.0014,0.0886,2.2451,0.0002,nan
320,16000,65.1,95.9857,-22.3338,-0.0011,0.1240,2.2440,0.0002,nan
340,17000,68.8,83.0617,-17.7173,-0.0010,0.0955,2.2411,0.0001,nan
360,18000,72.5,123.5943,-26.3029,-0.0015,0.1695,2.2298,0.0001,nan
380,19000,76.3,110.7299,-21.4200,-0.0015,0.1847,2.2284,0.0003,nan
400,,,,,,,,,
400,20000,81.7,109.9236,-38.4550,-0.0014,0.2008,2.2147,0.0002,nan
420,21000,85.3,138.8061,-23.8678,-0.0013,0.1017,2.2131,-0.0001,nan
440,22000,89.1,110.3819,-19.8517,-0.0015,0.1623,2.2084,0.0002,nan
460,23000,92.7,134.1002,-16.1598,-0.0014,0.1418,2.1974,0.0003,nan
480,24000,96.4,109.9888,-22.7687,-0.0010,0.1639,2.2111,0.0004,nan
500,,,,,,,,,
500,25000,101.7,113.1556,-21.7248,-0.0019,0.1522,2.1938,0.0000,nan
520,26000,105.3,118.6682,-28.8258,-0.0015,0.2616,2.1859,0.0000,nan
540,27000,109.1,159.4202,-29.0064,-0.0012,0.2496,2.1875,0.0003,nan
560,28000,112.8,140.8485,-29.2883,-0.0012,0.1868,2.1879,0.0002,nan
580,29000,116.5,159.8269,-19.0734,-0.0016,0.1658,2.1870,0.0003,nan
600,,,,,,,,,
600,30000,121.9,135.8697,-25.4681,-0.0015,0.1488,2.1755,0.0003,nan
620,31000,125.5,105.2166,-31.1640,-0.0022,0.1192,2.1724,0.0004,nan
640,32000,129.2,136.8137,-26.8392,-0.0020,0.1200,2.1634,0.0001,nan
660,33000,133.0,128.9111,-20.8962,-0.0015,0.0984,2.1649,0.0001,nan
680,34000,136.7,157.9118,-21.8919,-0.0013,0.1326,2.1635,0.0002,nan
700,,,,,,,,,
700,35000,142.0,160.6569,-14.9405,-0.0019,0.1166,2.1609,0.0004,nan
720,36000,145.6,167.7233,-21.3670,-0.0014,0.1106,2.1390,0.0004,nan
740,37000,149.3,142.9189,-35.5643,-0.0016,0.2320,2.1473,-0.0000,nan
760,38000,153.0,156.6756,-30.8033,-0.0015,0.1605,2.1249,0.0005,nan
780,39000,156.7,184.1884,-29.3417,-0.0016,0.1814,2.1328,0.0003,nan
800,,,,,,,,,
800,40000,162.2,169.0286,-19.9825,-0.0015,0.1540,2.1264,0.0003,nan
