episode,adv_return,good_return,actor_loss,critic_loss,entropy,elapsed
20,-19.525197426408997,-76.06790783998704,-0.12183860247023404,56.289662790298465,1.60448542535305,6.040997266769409
40,-22.00792865647294,-24.83699679435177,-0.3554613668471575,14.083147080739339,1.5962477048238117,12.168813467025757
60,-21.458816519571705,-32.183601153983645,-0.5455760918557644,5.691258454322815,1.588537758588791,18.22304391860962
80,-20.627534496439914,-28.014050048815356,-0.5906226858496666,13.034732651710511,1.5744469424088796,24.35702133178711
100,-15.916767094455427,-22.061621176744303,-0.3371029879897833,9.630100905895233,1.5657190114259718,32.88772511482239
120,-9.898819691958487,-13.987836710071752,-0.5532624813078931,215.29272219629001,1.524358313372641,39.07924461364746
140,-7.1116451913959455,-18.70664899389478,-0.32158905854448677,97.54461250305175,1.5272031784057618,45.10274314880371
160,1.4194240183684437,-14.164122684236892,-0.24141333010047675,271.331995900472,1.5149475832780201,51.033700704574585
180,33.78339732604706,-22.723829168800854,-1.1220599666237832,616.6721725463867,1.4927574694156647,56.88561511039734
200,13.169806761555957,-19.97286922562999,0.02664828915148974,656.2669677734375,1.4618252158164975,65.3414261341095
220,26.595981829718802,-19.539878258006645,-0.39004362069535997,669.501166152954,1.4222006723284721,71.20499610900879
240,0.45205919361905983,-34.277499580640516,0.23362430321673555,204.15438893636065,1.398720973730087,77.3263533115387
260,50.300306285504185,-27.285028641943605,-0.3372299108654261,642.4533981323242,1.3740840762853623,82.9071478843689
280,49.785251597387244,-28.01216455887451,-0.5104946416957925,911.150755818685,1.3745578676462173,88.57217502593994
300,51.85243733806419,-23.670310019226342,-0.19961526431143284,791.7369583129882,1.3515615962445735,96.42421221733093
320,56.04182928064838,-33.90369576119737,-0.23816123794143398,765.2222056070964,1.303098906079928,102.22716021537781
340,51.749213916015584,-24.18181263340341,-0.03083947524428368,808.763752746582,1.2850248575210572,108.04074168205261
360,101.28641192078125,-26.680642836873783,-0.5150069545954467,1280.865493774414,1.2776475235819815,113.0240409374237
380,45.73819677371168,-27.113096667733934,0.33164132591336964,593.1685424804688,1.2753618568181992,118.81323599815369
400,71.93145112317231,-23.380206389109226,-0.09304513397316139,771.7217178344727,1.2740426301956176,126.82404685020447
420,88.66285462503961,-24.433964247148374,-0.3314697544206865,1260.4845039367676,1.2345935493707656,132.54628944396973
440,54.15777230258681,-23.971066716349284,0.3354254036171673,831.185428873698,1.1887175942460695,138.14340138435364
460,38.67607345918659,-24.97411321820267,0.4976342529058457,737.8065765380859,1.188697224855423,143.79038834571838
480,56.96984764411695,-24.08889919239008,0.1338207526753346,562.0045227050781,1.2257655084133148,149.7359664440155
500,26.69362257493601,-25.15234658481696,0.4122827956918627,769.3131088256836,1.1632993280887605,157.70185446739197
