episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,3.5,48.9912,-15.0562,-0.0044,0.4080,2.2923,-0.0001,nan
40,2000,7.2,55.6460,-17.7189,-0.0016,0.4341,2.2871,0.0002,nan
60,3000,10.9,46.2336,-16.4309,-0.0013,0.4642,2.2844,0.0000,nan
80,4000,14.6,40.1815,-30.9259,-0.0014,0.4390,2.2790,0.0003,nan
100,,,,,,,,,
100,5000,19.8,79.2266,-25.6807,-0.0010,0.5857,2.2797,-0.0000,nan
120,6000,23.5,78.8891,-13.4939,-0.0012,0.4557,2.2754,-0.0001,nan
140,7000,27.2,90.3732,-23.5868,-0.0015,0.3738,2.2681,0.0001,nan
160,8000,30.9,67.0897,-37.5351,-0.0011,0.3333,2.2684,-0.0002,nan
180,9000,34.6,92.4948,-26.9568,-0.0016,0.2077,2.2642,-0.0000,nan
200,,,,,,,,,
200,10000,40.0,99.8128,-27.6680,-0.0016,0.1836,2.2561,-0.0001,nan
220,11000,43.5,83.1111,-31.1773,-0.0016,0.1218,2.2558,0.0002,nan
240,12000,47.3,77.1283,-26.2101,-0.0016,0.1614,2.2455,0.0005,nan
260,13000,51.0,97.5601,-26.8984,-0.0011,0.1542,2.2411,0.0002,nan
280,14000,54.6,106.4443,-25.0815,-0.0012,0.1593,2.2351,0.0001,nan
300,,,,,,,,,
300,15000,59.9,100.1110,-27.6967,-0.0013,0.0991,2.2321,0.0000,nan
320,16000,63.5,91.1551,-19.4478,-0.0011,0.1350,2.2358,0.0001,nan
340,17000,67.3,111.1195,-17.9913,-0.0012,0.1147,2.2350,0.0001,nan
360,18000,71.0,124.7653,-21.8281,-0.0014,0.1472,2.2301,0.0003,nan
380,19000,74.8,116.8254,-27.3138,-0.0012,0.2062,2.2289,0.0001,nan
400,,,,,,,,,
400,20000,80.2,103.2446,-32.6448,-0.0012,0.1539,2.2213,0.0004,nan
420,21000,83.8,136.1798,-25.2178,-0.0012,0.1329,2.2205,0.0003,nan
440,22000,87.4,122.2303,-24.6181,-0.0013,0.1362,2.2155,-0.0000,nan
460,23000,91.2,168.3844,-19.1702,-0.0011,0.1855,2.2084,0.0002,nan
480,24000,94.9,117.0561,-22.0926,-0.0010,0.1666,2.2071,0.0001,nan
500,,,,,,,,,
500,25000,100.2,145.7932,-27.7025,-0.0011,0.2202,2.1916,0.0004,nan
520,26000,103.8,136.1998,-26.0675,-0.0014,0.1271,2.1915,0.0002,nan
540,27000,107.5,138.8547,-27.2486,-0.0010,0.1310,2.1956,0.0003,nan
560,28000,111.2,156.8773,-28.6565,-0.0015,0.1255,2.1991,0.0001,nan
580,29000,114.9,171.3948,-19.3339,-0.0018,0.1423,2.1854,0.0002,nan
600,,,,,,,,,
600,30000,120.2,127.6173,-31.9536,-0.0016,0.1478,2.1754,0.0003,nan
620,31000,123.7,97.9270,-29.1742,-0.0016,0.0947,2.1674,0.0004,nan
640,32000,127.4,145.5374,-29.4465,-0.0015,0.1249,2.1735,-0.0000,nan
660,33000,131.0,138.0436,-21.8358,-0.0016,0.0745,2.1710,-0.0002,nan
680,34000,134.7,174.5177,-20.8781,-0.0012,0.1290,2.1820,0.0002,nan
700,,,,,,,,,
700,35000,139.9,172.6526,-20.3314,-0.0017,0.0832,2.1764,0.0001,nan
720,36000,143.7,154.6942,-22.6812,-0.0010,0.0913,2.1595,0.0001,nan
740,37000,147.4,132.3983,-36.7223,-0.0013,0.1348,2.1704,0.0001,nan
760,38000,151.0,151.2491,-30.2909,-0.0014,0.1174,2.1645,0.0004,nan
780,39000,154.7,160.1464,-25.2536,-0.0012,0.0991,2.1723,0.0002,nan
800,,,,,,,,,
800,40000,160.1,155.5793,-17.6391,-0.0014,0.1227,2.1714,0.0004,nan
820,41000,163.7,158.9416,-35.2451,-0.0009,0.1728,2.1741,0.0001,nan
840,42000,167.3,172.4802,-30.5567,-0.0012,0.1317,2.1748,0.0002,nan
860,43000,171.0,187.3583,-26.1824,-0.0013,0.1053,2.1488,0.0004,nan
880,44000,174.7,197.2717,-26.7757,-0.0014,0.1381,2.1496,-0.0001,nan
900,,,,,,,,,
900,45000,180.0,161.5810,-26.6727,-0.0014,0.1416,2.1462,0.0001,nan
920,46000,183.7,169.5158,-26.0029,-0.0016,0.1142,2.1429,0.0003,nan
940,47000,187.4,225.3756,-25.0316,-0.0010,0.1784,2.1395,-0.0000,nan
960,48000,191.1,222.3027,-26.6152,-0.0012,0.0807,2.1527,-0.0001,nan
980,49000,194.7,144.0282,-22.6254,-0.0016,0.1006,2.1272,0.0005,nan
1000,,,,,,,,,
1000,50000,200.1,166.4814,-36.2122,-0.0011,0.0862,2.1394,0.0003,nan
1020,51000,203.6,165.2440,-22.7570,-0.0015,0.1306,2.1292,0.0005,nan
1040,52000,207.4,189.8071,-23.6383,-0.0013,0.0801,2.1279,0.0001,nan
1060,53000,211.1,199.0893,-24.0697,-0.0015,0.0835,2.1498,-0.0000,nan
1080,54000,214.9,170.2422,-28.8812,-0.0014,0.1043,2.1327,0.0000,nan
1100,,,,,,,,,
1100,55000,220.1,174.7552,-36.1380,-0.0013,0.1047,2.1292,0.0005,nan
1120,56000,223.8,178.2273,-30.6659,-0.0018,0.1075,2.1053,0.0003,nan
1140,57000,227.6,223.8246,-28.1344,-0.0016,0.1075,2.0866,0.0000,nan
1160,58000,231.3,176.8693,-26.3742,-0.0014,0.1356,2.0935,0.0002,nan
1180,59000,234.8,200.2262,-25.8224,-0.0017,0.0785,2.0671,0.0005,nan
1200,,,,,,,,,
1200,60000,240.0,199.8298,-27.5872,-0.0011,0.1470,2.1016,0.0001,nan
1220,61000,243.5,172.7387,-25.3909,-0.0012,0.0944,2.0852,0.0003,nan
1240,62000,247.2,220.9038,-28.7859,-0.0018,0.0990,2.0863,0.0005,nan
1260,63000,250.9,181.3965,-30.1278,-0.0019,0.0950,2.0633,0.0001,nan
1280,64000,254.5,162.3329,-27.1316,-0.0014,0.0741,2.0703,-0.0002,nan
1300,,,,,,,,,
1300,65000,260.0,163.3940,-33.5624,-0.0014,0.1111,2.0778,0.0003,nan
1320,66000,263.9,168.6617,-26.6540,-0.0014,0.0919,2.0565,0.0001,nan
1340,67000,267.9,156.0002,-30.3523,-0.0011,0.1061,2.0637,0.0001,nan
1360,68000,271.8,203.9212,-21.6013,-0.0018,0.0929,2.0566,0.0002,nan
1380,69000,275.8,207.3301,-20.9695,-0.0013,0.1170,2.0692,0.0005,nan
1400,,,,,,,,,
1400,70000,281.5,170.4650,-20.1833,-0.0017,0.0713,2.0680,0.0001,nan
1420,71000,285.4,213.7586,-27.2799,-0.0017,0.0804,2.0750,-0.0002,nan
1440,72000,289.3,204.4352,-23.9969,-0.0013,0.0673,2.0600,-0.0000,nan
1460,73000,293.3,188.7404,-30.0904,-0.0014,0.0992,2.0315,0.0000,nan
1480,74000,297.2,229.8534,-26.2844,-0.0020,0.1150,2.0466,0.0005,nan
1500,,,,,,,,,
1500,75000,302.4,203.6778,-36.9416,-0.0015,0.1070,2.0026,-0.0001,nan
1520,76000,306.1,179.1343,-30.8849,-0.0013,0.1001,2.0551,0.0005,nan
1540,77000,309.7,182.3220,-23.0427,-0.0015,0.1197,2.0578,-0.0002,nan
1560,78000,313.4,193.9553,-26.4410,-0.0016,0.1199,2.0417,0.0005,nan
1580,79000,317.2,199.8999,-24.0678,-0.0019,0.1364,2.0440,0.0007,nan
1600,,,,,,,,,
1600,80000,322.5,201.7872,-26.4404,-0.0013,0.1017,2.0523,0.0001,nan
1620,81000,326.1,181.8556,-28.2411,-0.0016,0.0962,2.0545,0.0002,nan
1640,82000,329.7,164.1454,-27.4265,-0.0015,0.1089,2.0312,0.0000,nan
1660,83000,333.4,143.9659,-25.8533,-0.0019,0.1024,2.0347,0.0000,nan
1680,84000,337.0,237.5088,-36.0617,-0.0011,0.1739,2.0365,0.0000,nan
1700,,,,,,,,,
1700,85000,342.2,197.7452,-29.2995,-0.0013,0.0998,2.0497,0.0001,nan
1720,86000,345.8,189.8092,-32.4493,-0.0012,0.1255,2.0405,0.0001,nan
1740,87000,349.5,231.5010,-30.0833,-0.0021,0.1594,2.0172,0.0001,nan
1760,88000,353.2,182.9189,-27.3622,-0.0018,0.1269,1.9848,0.0004,nan
1780,89000,357.0,257.6985,-31.1126,-0.0019,0.1638,2.0152,0.0007,nan
1800,,,,,,,,,
1800,90000,362.3,200.7292,-26.6886,-0.0021,0.1053,2.0227,-0.0004,nan
1820,91000,365.9,208.1633,-24.0300,-0.0016,0.0989,2.0562,0.0003,nan
1840,92000,369.6,175.8034,-21.4893,-0.0012,0.1541,2.0694,0.0004,nan
1860,93000,373.3,182.7873,-26.7073,-0.0015,0.1235,2.0710,0.0002,nan
1880,94000,376.9,224.5067,-23.1101,-0.0010,0.1184,2.0564,0.0004,nan
1900,,,,,,,,,
1900,95000,382.3,199.6508,-32.9558,-0.0016,0.1220,2.0580,0.0005,nan
1920,96000,386.0,183.7515,-32.0858,-0.0019,0.1500,2.0406,0.0005,nan
1940,97000,389.8,194.4241,-23.8695,-0.0020,0.1226,2.0525,-0.0002,nan
1960,98000,393.4,189.7471,-31.0988,-0.0016,0.1055,2.0258,0.0002,nan
1980,99000,397.2,220.2916,-27.1982,-0.0016,0.1595,1.9967,0.0003,nan
2000,,,,,,,,,
2000,100000,402.6,229.7108,-27.5002,-0.0012,0.1158,2.0503,0.0001,nan
2020,101000,406.3,174.0048,-30.9338,-0.0014,0.1340,2.0502,-0.0003,nan
2040,102000,410.0,230.8645,-34.0596,-0.0013,0.1456,2.0123,0.0000,nan
2060,103000,413.6,189.2584,-26.6438,-0.0022,0.1507,2.0112,-0.0000,nan
2080,104000,417.2,223.0833,-30.6818,-0.0015,0.1726,2.0207,0.0002,nan
2100,,,,,,,,,
2100,105000,422.5,209.1154,-32.8068,-0.0015,0.1216,2.0009,0.0001,nan
2120,106000,426.2,231.7247,-25.0257,-0.0017,0.1347,2.0201,0.0002,nan
2140,107000,429.9,181.6024,-23.3081,-0.0018,0.1092,2.0015,0.0004,nan
2160,108000,433.5,228.7261,-29.5475,-0.0018,0.1159,2.0078,0.0004,nan
2180,109000,437.2,211.2808,-24.4697,-0.0017,0.1284,1.9879,0.0005,nan
2200,,,,,,,,,
2200,110000,442.6,201.8356,-27.1024,-0.0016,0.1692,1.9921,0.0002,nan
2220,111000,446.2,189.7143,-24.1788,-0.0015,0.1076,2.0118,0.0002,nan
2240,112000,449.9,242.5641,-24.5342,-0.0012,0.1092,2.0213,-0.0000,nan
2260,113000,453.7,243.0367,-42.0628,-0.0013,0.2516,2.0164,0.0003,nan
2280,114000,457.4,186.6210,-32.6245,-0.0014,0.1664,2.0368,-0.0000,nan
2300,,,,,,,,,
2300,115000,462.5,196.7176,-22.4659,-0.0016,0.1483,1.9834,0.0002,nan
2320,116000,466.2,173.7896,-28.0822,-0.0013,0.1444,2.0192,0.0000,nan
2340,117000,469.9,251.9867,-30.3651,-0.0017,0.1512,2.0086,0.0003,nan
