episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
1100,55000,296.7,38.455,-29.983,-0.0016,-0.0011,-0.0013,0.1417,1.3806,1.3879,-0.0003
1120,56000,301.8,31.572,-21.511,-0.0017,-0.0013,-0.0017,0.1334,1.3785,1.3949,0.0004
1140,57000,306.9,36.555,-25.297,-0.0017,-0.0015,-0.0014,0.1256,1.3415,1.4082,0.0010
1160,58000,312.0,23.776,-18.905,-0.0017,-0.0016,-0.0030,0.1245,1.3344,1.4149,-0.0001
1180,59000,317.2,21.775,-25.899,-0.0024,-0.0014,-0.0017,0.0967,1.2938,1.4272,0.0006
1200,,,,,,,,,,,
1200,60000,324.7,40.484,-25.583,-0.0021,-0.0006,-0.0021,0.1440,1.3275,1.4411,-0.0001
1220,61000,329.8,36.830,-23.301,-0.0020,-0.0007,-0.0017,0.0920,1.3668,1.4310,-0.0002
1240,62000,335.0,24.379,-20.441,-0.0023,-0.0012,-0.0015,0.1435,1.3816,1.4408,-0.0002
1260,63000,340.2,26.727,-21.002,-0.0024,-0.0008,-0.0013,0.1209,1.3736,1.4332,0.0004
1280,64000,345.3,32.375,-19.556,-0.0024,-0.0008,-0.0017,0.1370,1.3858,1.4361,0.0002
1300,65000,350.6,33.980,-28.091,-0.0024,-0.0013,-0.0005,0.1447,1.3744,1.4282,0.0000
1320,66000,355.8,35.630,-21.813,-0.0021,-0.0008,-0.0014,0.1289,1.3782,1.4283,0.0001
1340,67000,360.9,33.160,-21.705,-0.0025,-0.0004,-0.0016,0.1656,1.3798,1.4475,0.0003
1360,68000,366.1,29.821,-20.888,-0.0023,-0.0005,-0.0021,0.1189,1.3806,1.4363,-0.0001
1380,69000,371.3,24.511,-15.505,-0.0036,-0.0012,-0.0023,0.1146,1.3590,1.4472,0.0000
1400,,,,,,,,,,,
1400,70000,378.7,23.504,-17.126,-0.0018,-0.0010,-0.0016,0.1385,1.3961,1.4387,0.0002
1420,71000,383.9,22.029,-20.378,-0.0021,-0.0010,-0.0007,0.0970,1.3944,1.4061,-0.0001
1440,72000,389.1,15.172,-20.100,-0.0018,-0.0008,-0.0025,0.0886,1.3576,1.4259,0.0003
1460,73000,394.2,17.183,-15.224,-0.0015,-0.0007,-0.0012,0.0901,1.3830,1.3935,0.0002
1480,74000,399.3,29.105,-19.359,-0.0024,-0.0014,-0.0014,0.1629,1.3814,1.3968,0.0000
1500,75000,404.5,33.713,-21.873,-0.0021,-0.0014,-0.0021,0.1591,1.3742,1.3831,-0.0008
1520,76000,409.7,23.966,-21.529,-0.0021,-0.0004,-0.0020,0.1135,1.3974,1.3835,-0.0001
1540,77000,414.8,25.572,-27.390,-0.0016,-0.0008,-0.0024,0.1143,1.3905,1.3734,0.0000
1560,78000,420.1,35.083,-21.276,-0.0022,-0.0006,-0.0011,0.2482,1.3707,1.3581,0.0004
1580,79000,425.3,23.297,-23.693,-0.0026,-0.0008,-0.0010,0.1124,1.3577,1.4008,0.0001
1600,,,,,,,,,,,
1600,80000,432.6,30.249,-18.726,-0.0021,-0.0016,-0.0027,0.1198,1.3857,1.4232,0.0004
1620,81000,437.7,43.156,-24.205,-0.0024,-0.0015,-0.0009,0.1803,1.3894,1.4295,0.0007
1640,82000,442.8,37.568,-22.101,-0.0026,-0.0007,-0.0020,0.1940,1.3970,1.3909,0.0006
1660,83000,448.1,37.386,-30.014,-0.0021,-0.0017,-0.0009,0.2263,1.3871,1.4264,0.0005
1680,84000,453.2,35.176,-25.107,-0.0024,-0.0009,-0.0017,0.1531,1.4026,1.4157,0.0001
1700,85000,458.2,35.490,-28.620,-0.0017,-0.0009,-0.0010,0.1797,1.3943,1.4281,0.0001
1720,86000,463.3,28.864,-19.427,-0.0018,-0.0008,-0.0013,0.1689,1.3911,1.4061,-0.0000
1740,87000,468.5,30.402,-21.139,-0.0018,-0.0008,-0.0023,0.1625,1.4048,1.3956,-0.0002
1760,88000,473.6,36.670,-26.039,-0.0019,-0.0012,-0.0018,0.1842,1.4073,1.4144,0.0007
1780,89000,478.7,35.811,-25.807,-0.0022,-0.0018,-0.0036,0.1239,1.3989,1.4270,0.0006
1800,,,,,,,,,,,
1800,90000,486.0,35.085,-22.432,-0.0026,-0.0018,-0.0018,0.1368,1.3861,1.4187,0.0006
1820,91000,491.1,21.940,-12.861,-0.0027,-0.0009,-0.0019,0.1326,1.3931,1.4247,0.0006
1840,92000,496.3,33.652,-23.427,-0.0030,-0.0010,-0.0012,0.2023,1.4083,1.4129,0.0004
1860,93000,501.5,18.096,-14.463,-0.0021,-0.0012,-0.0038,0.1054,1.3827,1.4210,-0.0003
1880,94000,506.7,29.454,-18.952,-0.0028,-0.0016,-0.0013,0.1420,1.3882,1.3902,-0.0002
1900,95000,511.8,24.457,-19.316,-0.0017,-0.0019,-0.0030,0.1410,1.3994,1.4282,0.0003
1920,96000,517.1,21.524,-15.092,-0.0027,-0.0018,-0.0015,0.1374,1.4018,1.3857,0.0012
1940,97000,522.2,24.365,-21.852,-0.0026,-0.0015,-0.0014,0.1202,1.3922,1.3903,0.0003
1960,98000,527.4,26.504,-24.589,-0.0027,-0.0009,-0.0031,0.1034,1.3843,1.4074,0.0003
1980,99000,532.6,52.377,-31.259,-0.0029,-0.0014,-0.0010,0.3443,1.3737,1.3732,-0.0003
2000,,,,,,,,,,,
2000,100000,539.9,40.112,-27.281,-0.0024,-0.0006,-0.0017,0.2405,1.3707,1.3906,-0.0003
2020,101000,544.9,44.710,-29.705,-0.0024,-0.0014,-0.0009,0.3067,1.3471,1.4032,0.0001
2040,102000,549.9,48.762,-30.778,-0.0020,-0.0008,-0.0006,0.2266,1.3654,1.3789,0.0001
2060,103000,555.0,53.339,-33.319,-0.0013,-0.0023,-0.0020,0.2500,1.3807,1.4023,0.0006
2080,104000,560.1,49.104,-29.793,-0.0020,-0.0011,-0.0025,0.2381,1.3354,1.3651,0.0013
2100,105000,565.3,39.726,-26.112,-0.0017,-0.0011,-0.0029,0.2478,1.3531,1.3580,0.0007
2120,106000,570.4,28.789,-18.277,-0.0018,-0.0015,-0.0029,0.1996,1.3476,1.3691,0.0005
2140,107000,575.6,14.534,-16.514,-0.0029,-0.0006,-0.0012,0.1766,1.3332,1.3870,0.0003
2160,108000,580.7,25.585,-21.673,-0.0026,-0.0011,-0.0022,0.1360,1.3535,1.3650,-0.0001
2180,109000,585.7,28.167,-16.639,-0.0011,-0.0020,-0.0021,0.1318,1.3475,1.3791,-0.0002
2200,,,,,,,,,,,
2200,110000,593.1,24.897,-16.034,-0.0020,-0.0029,-0.0018,0.1687,1.3699,1.3559,0.0004
2220,111000,598.2,22.583,-21.166,-0.0043,-0.0025,-0.0007,0.1313,1.3498,1.3103,0.0004
2240,112000,603.4,34.033,-27.968,-0.0017,-0.0029,-0.0015,0.2428,1.3847,1.3684,0.0005
2260,113000,608.5,52.558,-31.727,-0.0026,-0.0020,-0.0011,0.3063,1.3850,1.3704,0.0016
2280,114000,613.6,38.593,-24.527,-0.0019,-0.0015,-0.0021,0.2427,1.3493,1.3555,0.0006
2300,115000,618.8,49.515,-30.051,-0.0020,-0.0017,-0.0010,0.3459,1.3645,1.3737,0.0009
2320,116000,624.0,51.609,-37.691,-0.0021,-0.0012,-0.0010,0.2855,1.3754,1.3789,0.0005
2340,117000,629.2,48.592,-31.569,-0.0033,-0.0009,-0.0011,0.2273,1.3612,1.3610,-0.0004
2360,118000,634.4,50.688,-32.752,-0.0025,-0.0007,-0.0010,0.2422,1.3274,1.3857,0.0002
2380,119000,639.7,43.760,-28.606,-0.0022,-0.0011,-0.0023,0.3180,1.3798,1.4141,0.0002
2400,,,,,,,,,,,
2400,120000,647.2,45.247,-28.788,-0.0019,-0.0012,-0.0026,0.2829,1.3383,1.4070,0.0003
2420,121000,652.3,36.525,-21.682,-0.0020,-0.0005,-0.0012,0.2165,1.3237,1.4042,0.0007
2440,122000,657.6,41.141,-23.242,-0.0023,-0.0010,-0.0012,0.2064,1.3360,1.4113,-0.0003
2460,123000,662.7,32.082,-19.385,-0.0015,-0.0006,-0.0012,0.1392,1.3729,1.4312,0.0001
2480,124000,667.8,34.226,-20.560,-0.0029,-0.0014,-0.0015,0.1302,1.3849,1.4177,0.0010
2500,125000,673.0,36.191,-20.178,-0.0018,-0.0013,-0.0009,0.1908,1.4000,1.4331,0.0008
2520,126000,678.1,40.748,-23.790,-0.0028,-0.0015,-0.0016,0.1994,1.3916,1.4351,-0.0001
2540,127000,683.3,25.126,-19.361,-0.0019,-0.0020,-0.0006,0.1472,1.4029,1.4255,0.0003
2560,128000,688.4,32.400,-19.718,-0.0018,-0.0007,-0.0012,0.1559,1.3958,1.4354,-0.0001
2580,129000,693.5,41.734,-25.508,-0.0019,-0.0012,-0.0015,0.1550,1.3984,1.4177,-0.0003
2600,,,,,,,,,,,
2600,130000,701.0,45.136,-23.236,-0.0018,-0.0005,-0.0016,0.2159,1.4149,1.4594,-0.0003
2620,131000,706.1,48.863,-32.385,-0.0024,-0.0006,-0.0016,0.2534,1.4001,1.4318,0.0001
2640,132000,711.2,38.671,-25.956,-0.0021,-0.0007,-0.0017,0.1926,1.4126,1.4471,0.0002
2660,133000,716.5,27.248,-31.787,-0.0024,-0.0006,-0.0022,0.1552,1.4067,1.4384,0.0000
2680,134000,721.7,24.550,-26.366,-0.0022,-0.0007,-0.0025,0.1443,1.4218,1.4434,0.0002
2700,135000,726.8,24.020,-26.341,-0.0017,-0.0007,-0.0038,0.1640,1.4021,1.4372,0.0001
2720,136000,731.9,35.771,-34.354,-0.0028,-0.0015,-0.0017,0.1973,1.4260,1.4373,0.0010
2740,137000,737.2,30.739,-22.053,-0.0020,-0.0005,-0.0026,0.1257,1.4310,1.4489,0.0001
2760,138000,742.6,55.268,-31.469,-0.0021,-0.0005,-0.0007,0.3079,1.4369,1.4167,0.0003
