episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
1100,55000,294.5,43.441,-29.286,-0.0019,-0.0010,-0.0009,0.0276,1.3992,1.4611,0.0004
1120,56000,299.7,37.663,-24.627,-0.0020,-0.0009,-0.0010,0.0182,1.4146,1.4676,-0.0003
1140,57000,304.9,31.229,-20.021,-0.0015,-0.0012,-0.0029,0.0131,1.4020,1.4367,0.0007
1160,58000,310.0,22.807,-18.920,-0.0023,-0.0009,-0.0017,0.0135,1.3870,1.4615,-0.0002
1180,59000,315.1,17.073,-17.805,-0.0013,-0.0009,-0.0025,0.0089,1.4209,1.4137,-0.0003
1200,,,,,,,,,,,
1200,60000,322.6,26.525,-32.983,-0.0017,-0.0009,-0.0015,0.0208,1.4008,1.4041,0.0003
1220,61000,327.7,24.963,-26.803,-0.0028,-0.0011,-0.0015,0.0165,1.4078,1.4069,-0.0007
1240,62000,332.8,34.720,-25.408,-0.0023,-0.0011,-0.0019,0.0151,1.4049,1.4271,0.0002
1260,63000,337.9,23.802,-16.151,-0.0029,-0.0017,-0.0021,0.0138,1.3824,1.4132,0.0004
1280,64000,343.3,33.997,-24.571,-0.0018,-0.0013,-0.0010,0.0172,1.3969,1.4225,0.0005
1300,65000,348.5,30.056,-37.997,-0.0014,-0.0007,-0.0041,0.0196,1.3813,1.4094,0.0002
1320,66000,353.5,33.903,-23.305,-0.0023,-0.0010,-0.0023,0.0172,1.3857,1.4084,0.0004
1340,67000,358.6,37.293,-24.062,-0.0028,-0.0010,-0.0008,0.0182,1.3953,1.4192,0.0000
1360,68000,363.8,46.400,-26.116,-0.0017,-0.0006,-0.0014,0.0269,1.3671,1.3953,-0.0002
1380,69000,368.9,37.114,-22.537,-0.0025,-0.0006,-0.0010,0.0247,1.3801,1.4148,0.0001
1400,,,,,,,,,,,
1400,70000,376.4,41.862,-22.829,-0.0025,-0.0013,-0.0009,0.0225,1.3610,1.4009,0.0001
1420,71000,381.5,46.515,-26.824,-0.0022,-0.0007,-0.0014,0.0269,1.3757,1.3995,0.0003
1440,72000,386.6,50.978,-29.424,-0.0022,-0.0009,-0.0007,0.0219,1.3862,1.4067,0.0002
1460,73000,391.7,51.739,-31.797,-0.0028,-0.0010,-0.0026,0.0220,1.3664,1.4077,0.0002
1480,74000,397.0,35.462,-21.621,-0.0026,-0.0006,-0.0014,0.0243,1.3923,1.4219,-0.0000
1500,75000,402.2,40.667,-23.924,-0.0014,-0.0008,-0.0029,0.0164,1.3955,1.4230,-0.0001
1520,76000,407.2,47.873,-26.998,-0.0017,-0.0013,-0.0040,0.0304,1.3747,1.4129,0.0003
1540,77000,412.5,32.371,-20.072,-0.0024,-0.0012,-0.0015,0.0155,1.4001,1.4286,0.0003
1560,78000,417.6,27.367,-19.485,-0.0025,-0.0008,-0.0016,0.0172,1.3917,1.4041,0.0003
1580,79000,422.8,32.114,-25.996,-0.0019,-0.0011,-0.0015,0.0201,1.3617,1.3999,0.0001
1600,,,,,,,,,,,
1600,80000,430.3,34.226,-25.194,-0.0019,-0.0010,-0.0012,0.0211,1.3617,1.4116,-0.0004
1620,81000,435.2,24.930,-23.645,-0.0029,-0.0020,-0.0025,0.0146,1.3648,1.3968,0.0003
1640,82000,440.3,21.389,-36.807,-0.0026,-0.0015,-0.0024,0.0213,1.3279,1.3883,0.0003
1660,83000,445.5,21.843,-29.331,-0.0027,-0.0003,-0.0016,0.0225,1.3131,1.4137,0.0004
1680,84000,450.7,32.257,-26.932,-0.0023,-0.0007,-0.0027,0.0225,1.3185,1.3991,0.0002
1700,85000,455.8,23.517,-22.149,-0.0030,-0.0009,-0.0011,0.0156,1.3238,1.4005,-0.0001
1720,86000,461.0,33.367,-28.154,-0.0019,-0.0009,-0.0015,0.0175,1.3346,1.3845,0.0003
1740,87000,466.3,25.764,-34.036,-0.0025,-0.0008,-0.0011,0.0156,1.3104,1.4136,0.0000
1760,88000,471.3,34.665,-30.588,-0.0020,-0.0007,-0.0026,0.0210,1.3261,1.4108,0.0004
1780,89000,476.5,47.055,-28.510,-0.0017,-0.0008,-0.0022,0.0235,1.3103,1.4299,0.0003
1800,,,,,,,,,,,
1800,90000,484.0,58.644,-30.079,-0.0025,-0.0007,-0.0014,0.0357,1.2987,1.4126,0.0001
1820,91000,489.1,51.380,-28.042,-0.0020,-0.0006,-0.0014,0.0330,1.2634,1.4188,0.0004
1840,92000,494.3,55.101,-30.126,-0.0024,-0.0005,-0.0024,0.0340,1.3119,1.4137,-0.0001
1860,93000,499.5,45.054,-23.739,-0.0023,-0.0011,-0.0015,0.0359,1.2899,1.4244,0.0002
1880,94000,504.6,44.900,-25.755,-0.0028,-0.0015,-0.0025,0.0321,1.3017,1.4321,-0.0001
1900,95000,509.8,39.510,-26.584,-0.0022,-0.0013,-0.0032,0.0321,1.3013,1.4238,0.0004
1920,96000,515.1,25.948,-37.002,-0.0025,-0.0006,-0.0015,0.0176,1.3242,1.4087,0.0001
1940,97000,520.4,32.522,-31.645,-0.0027,-0.0005,-0.0008,0.0234,1.3532,1.4068,0.0003
1960,98000,525.5,24.892,-32.894,-0.0022,-0.0006,-0.0018,0.0228,1.3323,1.3920,0.0001
1980,99000,530.6,32.510,-29.239,-0.0021,-0.0010,-0.0046,0.0289,1.3214,1.3965,0.0004
2000,,,,,,,,,,,
2000,100000,538.0,43.210,-26.183,-0.0019,-0.0009,-0.0005,0.0353,1.3407,1.3960,-0.0001
2020,101000,543.0,38.431,-22.488,-0.0016,-0.0005,-0.0007,0.0278,1.3507,1.4027,0.0004
2040,102000,548.1,46.880,-26.609,-0.0023,-0.0011,-0.0014,0.0378,1.3634,1.3913,0.0002
2060,103000,553.4,41.877,-26.680,-0.0017,-0.0014,-0.0004,0.0253,1.3402,1.3854,0.0002
2080,104000,558.4,59.660,-36.930,-0.0026,-0.0017,-0.0008,0.0377,1.3343,1.3994,0.0008
2100,105000,563.6,40.891,-26.455,-0.0016,-0.0008,-0.0006,0.0209,1.3474,1.4320,0.0004
2120,106000,568.8,63.449,-39.795,-0.0024,-0.0010,-0.0018,0.0381,1.3349,1.3770,0.0002
2140,107000,574.0,54.476,-31.440,-0.0028,-0.0008,-0.0009,0.0379,1.3286,1.4049,0.0002
2160,108000,579.1,55.566,-29.500,-0.0019,-0.0010,-0.0015,0.0454,1.3291,1.4025,-0.0004
2180,109000,584.2,55.525,-31.671,-0.0018,-0.0006,-0.0031,0.0335,1.3479,1.3512,0.0006
2200,,,,,,,,,,,
2200,110000,591.8,39.380,-25.319,-0.0020,-0.0011,-0.0025,0.0339,1.3519,1.3766,-0.0000
2220,111000,596.8,38.394,-24.568,-0.0017,-0.0007,-0.0025,0.0356,1.3406,1.3889,0.0003
2240,112000,601.9,31.198,-19.746,-0.0023,-0.0005,-0.0018,0.0275,1.3604,1.3940,0.0003
2260,113000,607.0,23.043,-21.736,-0.0018,-0.0011,-0.0015,0.0293,1.3453,1.4138,-0.0001
2280,114000,612.0,29.945,-24.098,-0.0017,-0.0021,-0.0015,0.0270,1.3547,1.3820,0.0010
2300,115000,617.3,26.951,-18.077,-0.0019,-0.0009,-0.0018,0.0281,1.3398,1.3818,0.0003
2320,116000,622.5,26.754,-27.237,-0.0029,-0.0009,-0.0023,0.0264,1.3478,1.3910,0.0006
2340,117000,627.6,22.405,-23.950,-0.0020,-0.0010,-0.0019,0.0213,1.3287,1.3620,-0.0003
2360,118000,632.8,33.844,-19.899,-0.0024,-0.0007,-0.0018,0.0256,1.3382,1.3639,0.0002
2380,119000,638.1,29.167,-26.184,-0.0020,-0.0004,-0.0005,0.0204,1.3571,1.3462,0.0003
2400,,,,,,,,,,,
2400,120000,645.7,29.518,-24.425,-0.0019,-0.0011,-0.0014,0.0256,1.3321,1.3382,-0.0001
2420,121000,650.7,29.217,-27.564,-0.0025,-0.0006,-0.0013,0.0280,1.3637,1.3126,0.0000
2440,122000,655.9,29.025,-23.336,-0.0022,-0.0010,-0.0021,0.0181,1.3770,1.2483,-0.0002
2460,123000,661.0,37.230,-26.248,-0.0022,-0.0011,-0.0022,0.0389,1.3726,1.2528,0.0001
2480,124000,666.3,40.775,-28.594,-0.0030,-0.0012,-0.0017,0.0350,1.3722,1.3315,0.0010
2500,125000,671.6,40.228,-26.884,-0.0018,-0.0006,-0.0016,0.0296,1.3589,1.3164,-0.0000
2520,126000,676.9,36.087,-25.372,-0.0034,-0.0022,-0.0014,0.0274,1.3162,1.2810,0.0005
2540,127000,682.1,37.742,-22.100,-0.0028,-0.0003,-0.0010,0.0288,1.3314,1.2862,-0.0001
2560,128000,687.2,36.118,-21.287,-0.0026,-0.0004,-0.0015,0.0373,1.3546,1.2929,0.0002
2580,129000,692.5,32.177,-19.710,-0.0033,-0.0003,-0.0009,0.0303,1.3649,1.2644,0.0003
2600,,,,,,,,,,,
2600,130000,700.1,28.050,-17.808,-0.0020,-0.0011,-0.0026,0.0290,1.3390,1.3173,0.0001
2620,131000,705.2,25.638,-21.675,-0.0025,-0.0005,-0.0022,0.0233,1.3911,1.2564,0.0001
2640,132000,710.4,15.521,-13.109,-0.0020,-0.0008,-0.0021,0.0236,1.3824,1.2389,0.0002
2660,133000,715.5,18.897,-24.559,-0.0019,-0.0013,-0.0012,0.0241,1.4065,1.2361,0.0003
2680,134000,720.8,29.505,-18.819,-0.0020,-0.0010,-0.0013,0.0364,1.3810,1.2164,0.0005
2700,135000,725.9,32.756,-19.572,-0.0028,-0.0007,-0.0010,0.0438,1.4057,1.2282,-0.0003
2720,136000,731.1,19.996,-16.870,-0.0018,-0.0009,-0.0020,0.0275,1.4020,1.2865,-0.0000
2740,137000,736.2,20.182,-15.629,-0.0017,-0.0009,-0.0013,0.0191,1.4030,1.2250,0.0006
2760,138000,741.4,20.615,-26.917,-0.0029,-0.0017,-0.0016,0.0222,1.3984,1.2582,-0.0002
2780,139000,746.6,29.429,-22.427,-0.0029,-0.0010,-0.0009,0.0279,1.4020,1.2651,0.0002
2800,,,,,,,,,,,
2800,140000,754.1,30.678,-36.355,-0.0025,-0.0005,-0.0014,0.0241,1.4087,1.2750,0.0002
2820,141000,759.2,31.789,-29.403,-0.0016,-0.0011,-0.0010,0.0279,1.4143,1.2429,0.0001
2840,142000,764.4,34.034,-27.002,-0.0032,-0.0004,-0.0006,0.0286,1.4227,1.3099,0.0002
2860,143000,769.7,48.618,-32.560,-0.0019,-0.0011,-0.0006,0.0631,1.4261,1.3069,-0.0000
2880,144000,774.8,33.817,-23.682,-0.0024,-0.0010,-0.0007,0.0412,1.4180,1.3226,-0.0000
2900,145000,779.9,45.767,-30.293,-0.0015,-0.0026,-0.0008,0.0415,1.4127,1.3127,0.0005
2920,146000,785.1,36.140,-23.715,-0.0016,-0.0003,-0.0017,0.0347,1.4174,1.3243,0.0001
2940,147000,790.3,30.249,-18.382,-0.0017,-0.0009,-0.0014,0.0218,1.4134,1.3352,0.0004
2960,148000,795.6,36.749,-23.716,-0.0019,-0.0010,-0.0016,0.0278,1.4127,1.3609,0.0005
2980,149000,800.8,33.863,-23.562,-0.0022,-0.0004,-0.0014,0.0257,1.4287,1.3731,0.0002
3000,,,,,,,,,,,
3000,150000,808.2,28.403,-21.828,-0.0028,-0.0006,-0.0009,0.0227,1.4274,1.3814,0.0001
3020,151000,813.4,43.225,-25.768,-0.0018,-0.0011,-0.0020,0.0350,1.3993,1.3540,0.0001
3040,152000,818.6,25.899,-16.276,-0.0024,-0.0007,-0.0018,0.0344,1.4066,1.3905,-0.0002
3060,153000,823.8,32.904,-20.841,-0.0028,-0.0011,-0.0017,0.0285,1.4301,1.3755,0.0004
3080,154000,829.1,31.055,-19.763,-0.0023,-0.0008,-0.0012,0.0221,1.4307,1.3887,-0.0000
3100,155000,834.4,40.777,-23.528,-0.0022,-0.0009,-0.0007,0.0534,1.4348,1.3710,0.0003
3120,156000,839.6,28.070,-19.333,-0.0031,-0.0010,-0.0013,0.0302,1.4395,1.4233,0.0002
3140,157000,844.9,37.711,-25.141,-0.0017,-0.0005,-0.0010,0.0355,1.4240,1.4139,0.0003
3160,158000,849.9,23.946,-16.794,-0.0026,-0.0006,-0.0012,0.0293,1.4109,1.4160,-0.0002
3180,159000,855.1,20.173,-20.636,-0.0018,-0.0010,-0.0016,0.0263,1.4299,1.4285,0.0005
3200,,,,,,,,,,,
3200,160000,862.7,22.335,-28.332,-0.0027,-0.0017,-0.0015,0.0319,1.3965,1.4207,0.0007
3220,161000,867.8,33.935,-24.250,-0.0027,-0.0013,-0.0015,0.0446,1.4161,1.4272,-0.0002
3240,162000,873.1,32.530,-21.408,-0.0029,-0.0015,-0.0018,0.0441,1.4195,1.4359,0.0001
3260,163000,878.3,30.662,-25.561,-0.0017,-0.0011,-0.0013,0.0219,1.4404,1.4274,0.0009
3280,164000,883.5,42.700,-33.059,-0.0021,-0.0016,-0.0022,0.0724,1.4262,1.4124,-0.0002
3300,165000,888.7,35.700,-25.825,-0.0030,-0.0009,-0.0010,0.0387,1.4315,1.4128,0.0005
3320,166000,894.0,36.997,-28.658,-0.0020,-0.0011,-0.0018,0.0358,1.4280,1.4263,0.0001
3340,167000,899.2,33.627,-24.018,-0.0020,-0.0008,-0.0013,0.0410,1.4368,1.4236,-0.0001
3360,168000,904.2,21.803,-17.981,-0.0019,-0.0003,-0.0016,0.0303,1.4158,1.4402,-0.0000
3380,169000,909.3,33.636,-21.203,-0.0012,-0.0005,-0.0010,0.0450,1.4364,1.4347,0.0002
3400,,,,,,,,,,,
3400,170000,916.7,41.066,-23.999,-0.0022,-0.0008,-0.0018,0.0380,1.4213,1.4442,0.0003
3420,171000,921.7,31.937,-19.732,-0.0027,-0.0010,-0.0029,0.0339,1.4336,1.4258,0.0005
3440,172000,926.7,18.467,-14.744,-0.0025,-0.0007,-0.0025,0.0294,1.4418,1.4508,0.0000
