episode,adv_return,good_return,actor_loss,critic_loss,entropy,elapsed
20,-22.069303924645066,-61.2179556778313,-0.08910181000828743,45.0108540058136,1.578890287876129,6.508331537246704
40,-22.05485089537425,-26.78538491949332,-0.5304003608723482,11.080360150337219,1.5707119961579643,13.025827407836914
60,-13.579982435570562,-16.828600957058566,-0.579487059172243,111.80829354524613,1.558559137582779,19.454553604125977
80,-20.573718701869943,-24.720225672385293,-0.23020959285398324,9.671099789937337,1.5691398322582246,26.043660163879395
100,-13.573055848265065,-18.487091755012155,-0.2730051275109872,24.166828453540802,1.5756976038217545,35.09237599372864
120,-11.438166988361626,-10.720991551375807,-0.36531591575705646,61.659086441271235,1.5514463766054674,41.79162955284119
140,-16.279531675962495,-17.437367365232827,0.13819208079949022,25.140702509880064,1.5434224903583527,48.030468225479126
160,-7.425452624958706,-14.227156852995567,-0.313923366740346,97.70672566095988,1.5387323518594105,54.38497805595398
180,20.705245126518417,-19.346076534505492,-0.9801645398139953,462.599951171875,1.5093722879886626,60.34068059921265
200,17.61318388363521,-18.13454441450893,-0.4209621112793684,366.19070485432945,1.4758929232756295,68.60666537284851
220,16.510024216201856,-22.31884027576475,-0.46866675447672607,818.180757522583,1.37246299650934,74.89641499519348
240,10.606699457647627,-29.616836176964732,0.1383380375802517,402.0128796895345,1.3439427653948466,81.05797052383423
260,34.87845100821927,-24.479799547182996,-0.1864814552478492,325.45449867248533,1.3333248019218444,87.24040675163269
280,56.081476412856716,-28.869972106359228,-0.4914605663158,882.9411341349283,1.3224650025367737,92.67641282081604
300,40.67584152767711,-26.76781978302123,0.09986432045698165,735.3483299255372,1.3037854075431823,101.23095226287842
320,49.88059157642884,-19.53704057946488,-0.20224388949573036,826.2022013346354,1.269878441095352,106.9534740447998
340,34.28257849771297,-21.91836720282061,0.11359502961859107,584.2580238342285,1.2501855880022048,113.03502750396729
360,59.85728386753588,-31.853861380836257,-0.04569460426767668,498.996880086263,1.2260732968648276,119.03303527832031
380,55.78321453603276,-32.01169544941111,-0.002016957290470592,562.9360237121582,1.2294327944517136,125.06378293037415
400,44.28068509774923,-19.609177127303898,0.14132188125513492,597.6716613769531,1.2339188615481058,133.96924495697021
420,49.237952455859634,-23.10098234295264,-0.05403259534558112,492.97440338134766,1.3519666091962295,139.99412369728088
440,25.049381206943657,-24.959221914508255,0.2760194650230308,420.85610809326175,1.354128150145213,146.18837809562683
460,11.933034372499971,-34.01345867385875,0.29181214421987534,208.41704559326172,1.3488570004701614,152.42369413375854
480,30.55325543266965,-31.655780232626874,-0.07561005810275674,365.0481549580891,1.3584763646125795,158.5702941417694
500,51.28337195730681,-25.267017542247835,-0.23749048926401883,928.8903915405274,1.3410960286855698,166.78328680992126
520,69.70828390365583,-33.33014921451908,-0.34624223392456766,1038.299553426107,1.282544512550036,172.84594202041626
540,62.95348122070209,-29.49638616156479,-0.14083044754806906,871.6589256286621,1.2459814712405204,178.4686450958252
560,92.53314507630537,-21.27204796725459,-0.36909760478883985,995.4253311157227,1.2261116648713748,183.84628009796143
580,69.98906563309778,-23.32305035106256,-0.008824181044474244,879.7181427001954,1.2075013756752013,189.66288232803345
600,44.844096313421616,-24.706717014322344,0.17026903203999003,599.4886006673178,1.2484137435754141,198.1863193511963
620,69.31206710584111,-25.085710753042413,0.10049190847203136,726.6317771911622,1.283133751153946,204.1105601787567
640,38.528275096391155,-34.90099943600831,0.2057272396981716,472.70828094482425,1.3201972822348276,210.22646117210388
660,50.44607494678552,-24.71708424441393,-0.019690757617354393,410.84741592407227,1.3071872323751448,216.21577095985413
680,26.859831665840467,-27.10960510207334,0.16142936466882626,443.58590037027994,1.2901087721188862,222.56146931648254
700,55.25379484090023,-39.957644246634466,-0.2011783481342718,897.2632873535156,1.3031323969364166,231.17235684394836
720,46.6955732904654,-18.134310498211413,0.10837884052501372,515.9357012430827,1.3090126931667327,237.41734051704407
740,38.86472975614422,-31.662687234366352,0.11776802837848663,606.9617576599121,1.328487327694893,243.82887816429138
