episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.0,7.708,-64.451,-0.0053,-0.0028,-0.0056,0.9384,1.6038,1.6004,0.0007
40,2000,10.2,4.958,-41.516,-0.0029,-0.0010,-0.0033,0.8297,1.6005,1.5912,0.0002
60,3000,15.4,8.863,-25.645,-0.0017,-0.0013,-0.0014,0.8184,1.5945,1.5795,0.0002
80,4000,20.4,10.903,-16.133,-0.0018,-0.0010,-0.0024,1.1020,1.5810,1.5740,-0.0004
100,5000,25.6,4.326,-7.859,-0.0015,-0.0013,-0.0005,0.5248,1.5590,1.5579,0.0005
120,6000,30.8,13.388,-12.791,-0.0016,-0.0015,-0.0016,0.6686,1.5557,1.5381,0.0003
140,7000,35.9,11.220,-15.860,-0.0018,-0.0009,-0.0006,0.4406,1.5581,1.5248,0.0003
160,8000,41.0,10.481,-12.729,-0.0022,-0.0007,-0.0010,0.4984,1.5507,1.5207,0.0004
180,9000,46.1,15.228,-13.186,-0.0022,-0.0009,-0.0017,0.4039,1.5555,1.5147,0.0002
200,,,,,,,,,,,
200,10000,53.3,14.123,-14.082,-0.0016,-0.0006,-0.0017,0.2422,1.5685,1.5048,0.0001
220,11000,58.4,8.127,-9.970,-0.0024,-0.0006,-0.0008,0.1670,1.5709,1.4887,0.0002
240,12000,63.5,9.967,-9.282,-0.0020,-0.0005,-0.0012,0.1709,1.5626,1.4943,0.0001
260,13000,68.6,11.507,-12.631,-0.0016,-0.0010,-0.0016,0.2819,1.5704,1.4723,0.0000
280,14000,73.7,12.619,-14.803,-0.0016,-0.0007,-0.0015,0.2314,1.5679,1.4839,0.0003
300,15000,79.0,12.923,-10.692,-0.0014,-0.0007,-0.0012,0.3319,1.5771,1.4867,0.0003
320,16000,84.2,13.764,-13.273,-0.0015,-0.0009,-0.0013,0.2630,1.5733,1.4733,0.0005
340,17000,89.4,11.119,-6.387,-0.0018,-0.0005,-0.0010,0.2569,1.5730,1.4905,0.0004
360,18000,94.6,21.398,-14.170,-0.0019,-0.0006,-0.0008,0.3314,1.5712,1.4497,-0.0001
380,19000,99.7,11.718,-11.418,-0.0024,-0.0004,-0.0010,0.2534,1.5727,1.4505,-0.0001
400,,,,,,,,,,,
400,20000,107.0,17.903,-14.327,-0.0018,-0.0008,-0.0011,0.3736,1.5705,1.4708,0.0002
420,21000,112.0,18.017,-12.672,-0.0020,-0.0006,-0.0009,0.2847,1.5587,1.4548,0.0000
440,22000,117.2,22.948,-15.091,-0.0022,-0.0010,-0.0011,0.3483,1.5576,1.4457,-0.0001
460,23000,122.4,29.455,-19.977,-0.0019,-0.0010,-0.0014,0.3862,1.5391,1.4521,0.0003
480,24000,127.5,29.247,-17.209,-0.0020,-0.0009,-0.0015,0.3018,1.5304,1.4494,0.0002
500,25000,132.7,23.958,-14.671,-0.0020,-0.0004,-0.0012,0.2450,1.5236,1.4396,-0.0000
520,26000,137.7,21.547,-12.820,-0.0026,-0.0007,-0.0012,0.2290,1.5206,1.4559,0.0001
540,27000,142.8,20.956,-12.079,-0.0022,-0.0008,-0.0020,0.1237,1.5166,1.4440,0.0007
560,28000,148.0,25.308,-17.421,-0.0025,-0.0014,-0.0010,0.2191,1.5264,1.4383,0.0002
580,29000,153.2,22.093,-13.165,-0.0014,-0.0009,-0.0011,0.2211,1.5455,1.4434,0.0004
600,,,,,,,,,,,
600,30000,160.7,21.450,-12.411,-0.0023,-0.0015,-0.0015,0.1626,1.5267,1.4066,0.0002
620,31000,165.7,34.298,-19.554,-0.0015,-0.0017,-0.0016,0.2484,1.5263,1.4487,0.0000
640,32000,170.9,42.135,-25.315,-0.0025,-0.0012,-0.0010,0.3087,1.5146,1.4310,0.0004
660,33000,176.1,34.509,-20.331,-0.0020,-0.0007,-0.0018,0.1489,1.5162,1.4213,0.0002
680,34000,181.1,29.760,-19.593,-0.0027,-0.0008,-0.0014,0.1593,1.5181,1.4241,0.0003
700,35000,186.3,32.501,-22.133,-0.0019,-0.0012,-0.0019,0.1744,1.4986,1.4181,-0.0001
720,36000,191.4,35.019,-24.050,-0.0020,-0.0010,-0.0024,0.1133,1.4885,1.4304,0.0003
740,37000,196.5,34.396,-23.229,-0.0023,-0.0022,-0.0020,0.1084,1.4886,1.4282,0.0005
760,38000,201.8,34.431,-19.969,-0.0017,-0.0021,-0.0018,0.1633,1.4592,1.4225,0.0005
780,39000,206.8,39.543,-23.927,-0.0020,-0.0024,-0.0037,0.1018,1.4583,1.4429,0.0005
800,,,,,,,,,,,
800,40000,214.1,33.489,-24.214,-0.0025,-0.0013,-0.0027,0.1412,1.4544,1.4175,-0.0004
820,41000,219.3,18.435,-23.246,-0.0017,-0.0013,-0.0016,0.1171,1.4184,1.4146,0.0005
840,42000,224.4,27.982,-36.628,-0.0023,-0.0010,-0.0027,0.1050,1.4416,1.4058,-0.0000
860,43000,229.6,38.083,-30.551,-0.0025,-0.0011,-0.0050,0.1154,1.4422,1.4402,0.0006
880,44000,234.7,43.931,-25.991,-0.0022,-0.0015,-0.0022,0.1270,1.4170,1.4214,0.0003
900,45000,239.8,41.410,-29.770,-0.0022,-0.0005,-0.0011,0.1046,1.4123,1.4113,0.0001
920,46000,244.9,44.746,-26.812,-0.0019,-0.0016,-0.0017,0.1229,1.4185,1.4170,0.0003
940,47000,250.3,46.298,-28.897,-0.0016,-0.0017,-0.0011,0.1050,1.3861,1.4388,0.0000
960,48000,255.4,28.496,-23.230,-0.0020,-0.0009,-0.0023,0.0998,1.3908,1.4054,0.0002
980,49000,260.6,31.351,-21.718,-0.0015,-0.0009,-0.0019,0.0995,1.3964,1.3793,-0.0002
1000,,,,,,,,,,,
1000,50000,267.9,38.845,-27.129,-0.0022,-0.0017,-0.0014,0.1257,1.3993,1.4104,0.0000
1020,51000,273.0,25.846,-21.327,-0.0018,-0.0029,-0.0010,0.0921,1.4096,1.3877,0.0013
1040,52000,278.1,29.305,-23.515,-0.0028,-0.0018,-0.0012,0.1123,1.3802,1.3941,-0.0001
1060,53000,283.5,31.274,-28.682,-0.0015,-0.0007,-0.0009,0.1419,1.3791,1.3822,0.0000
1080,54000,288.6,26.163,-36.293,-0.0032,-0.0016,-0.0009,0.1001,1.3764,1.4019,0.0002
1100,55000,293.9,31.217,-38.565,-0.0020,-0.0016,-0.0022,0.1036,1.3698,1.3801,-0.0001
1120,56000,299.0,46.741,-29.335,-0.0022,-0.0007,-0.0015,0.1169,1.3789,1.3980,0.0006
1140,57000,304.3,44.834,-26.453,-0.0016,-0.0008,-0.0011,0.0995,1.3616,1.4306,-0.0002
1160,58000,309.5,29.139,-20.172,-0.0022,-0.0015,-0.0021,0.0861,1.3579,1.4216,0.0006
1180,59000,314.7,26.074,-24.458,-0.0015,-0.0013,-0.0011,0.0677,1.3611,1.3974,0.0003
1200,,,,,,,,,,,
1200,60000,322.2,35.127,-24.911,-0.0017,-0.0012,-0.0027,0.0781,1.3920,1.4236,0.0004
1220,61000,327.2,33.643,-29.229,-0.0019,-0.0005,-0.0019,0.1502,1.3840,1.4032,0.0002
1240,62000,332.4,27.240,-23.294,-0.0020,-0.0008,-0.0010,0.0791,1.3940,1.4226,-0.0000
1260,63000,337.7,19.384,-16.243,-0.0026,-0.0009,-0.0008,0.0959,1.3905,1.4444,0.0003
1280,64000,342.7,29.107,-22.323,-0.0025,-0.0005,-0.0018,0.1117,1.3797,1.4678,0.0001
1300,65000,348.1,25.911,-28.713,-0.0027,-0.0008,-0.0005,0.0991,1.3995,1.4632,0.0003
1320,66000,353.3,23.990,-24.349,-0.0024,-0.0016,-0.0017,0.0849,1.3964,1.4815,0.0000
1340,67000,358.4,19.708,-26.418,-0.0022,-0.0014,-0.0015,0.0727,1.4035,1.4675,0.0007
1360,68000,363.5,33.600,-20.873,-0.0022,-0.0011,-0.0010,0.1197,1.3767,1.4643,-0.0005
1380,69000,368.7,37.908,-23.561,-0.0016,-0.0010,-0.0017,0.1177,1.3872,1.4666,0.0000
1400,,,,,,,,,,,
1400,70000,376.1,45.619,-24.774,-0.0019,-0.0013,-0.0013,0.1241,1.4175,1.4727,0.0001
1420,71000,381.2,36.146,-27.034,-0.0016,-0.0007,-0.0006,0.1503,1.4130,1.4510,0.0005
1440,72000,386.4,30.799,-24.276,-0.0016,-0.0009,-0.0020,0.0956,1.3808,1.4595,0.0001
1460,73000,391.5,42.717,-31.628,-0.0028,-0.0006,-0.0010,0.1487,1.4336,1.4368,0.0005
1480,74000,396.7,30.203,-17.717,-0.0026,-0.0012,-0.0011,0.0919,1.4249,1.4477,0.0004
1500,75000,401.9,37.360,-21.986,-0.0025,-0.0008,-0.0009,0.1139,1.4293,1.4601,-0.0002
1520,76000,407.1,37.894,-25.406,-0.0016,-0.0007,-0.0015,0.1069,1.4278,1.4557,0.0004
1540,77000,412.2,39.165,-24.475,-0.0017,-0.0005,-0.0012,0.1041,1.4298,1.4565,0.0002
1560,78000,417.4,34.384,-23.969,-0.0029,-0.0006,-0.0010,0.1371,1.4200,1.4737,0.0002
1580,79000,422.6,41.447,-29.407,-0.0023,-0.0010,-0.0007,0.1267,1.4193,1.4522,-0.0001
1600,,,,,,,,,,,
1600,80000,430.0,39.197,-21.895,-0.0018,-0.0008,-0.0011,0.1078,1.4139,1.4659,0.0002
1620,81000,435.1,28.297,-24.127,-0.0021,-0.0006,-0.0020,0.0896,1.4204,1.4562,0.0005
1640,82000,440.2,33.658,-23.151,-0.0018,-0.0007,-0.0010,0.0956,1.4305,1.4716,0.0002
1660,83000,445.5,41.550,-24.828,-0.0015,-0.0007,-0.0021,0.1224,1.4275,1.4733,0.0002
1680,84000,450.7,30.214,-23.298,-0.0020,-0.0009,-0.0017,0.1098,1.4331,1.4841,0.0001
1700,85000,455.9,35.766,-22.330,-0.0021,-0.0011,-0.0012,0.2453,1.4314,1.5045,0.0005
1720,86000,461.1,29.387,-23.176,-0.0026,-0.0005,-0.0013,0.1070,1.4348,1.4978,0.0003
1740,87000,466.3,18.627,-25.614,-0.0013,-0.0011,-0.0017,0.0792,1.4224,1.5012,0.0003
1760,88000,471.5,21.588,-21.928,-0.0015,-0.0011,-0.0020,0.0872,1.4243,1.4884,-0.0002
1780,89000,476.6,25.506,-18.417,-0.0026,-0.0017,-0.0021,0.0949,1.4270,1.4652,0.0004
1800,,,,,,,,,,,
1800,90000,484.1,25.103,-20.253,-0.0018,-0.0008,-0.0009,0.1336,1.4219,1.4734,0.0002
1820,91000,489.2,23.456,-18.682,-0.0020,-0.0011,-0.0006,0.0752,1.4264,1.4620,0.0001
1840,92000,494.4,31.829,-21.884,-0.0019,-0.0010,-0.0008,0.1168,1.4109,1.4670,-0.0004
1860,93000,499.4,38.245,-26.168,-0.0014,-0.0009,-0.0008,0.1359,1.4374,1.4642,0.0000
1880,94000,504.6,27.268,-28.922,-0.0026,-0.0008,-0.0014,0.0983,1.4326,1.4589,-0.0000
1900,95000,509.8,36.872,-28.501,-0.0014,-0.0007,-0.0008,0.1460,1.4452,1.4741,0.0001
1920,96000,514.9,23.590,-29.474,-0.0022,-0.0016,-0.0010,0.1143,1.4169,1.4696,0.0006
1940,97000,520.2,34.402,-25.020,-0.0013,-0.0009,-0.0019,0.1155,1.4220,1.4542,0.0004
1960,98000,525.3,31.251,-26.722,-0.0022,-0.0012,-0.0023,0.1110,1.3909,1.4833,0.0005
1980,99000,530.6,42.089,-24.743,-0.0021,-0.0010,-0.0019,0.1871,1.3540,1.4577,0.0004
2000,,,,,,,,,,,
2000,100000,537.8,36.014,-20.541,-0.0026,-0.0010,-0.0024,0.1605,1.3311,1.4734,0.0000
2020,101000,542.9,24.070,-14.937,-0.0028,-0.0008,-0.0017,0.1431,1.2985,1.4673,0.0002
2040,102000,548.0,22.021,-14.391,-0.0051,-0.0009,-0.0020,0.1009,1.2696,1.4677,0.0004
2060,103000,553.4,16.599,-16.269,-0.0026,-0.0014,-0.0022,0.1068,1.2696,1.4724,-0.0001
2080,104000,558.5,18.234,-18.115,-0.0018,-0.0009,-0.0020,0.1385,1.3082,1.4668,0.0010
2100,105000,563.7,17.370,-18.317,-0.0019,-0.0012,-0.0008,0.0983,1.3559,1.4542,0.0005
2120,106000,568.9,17.636,-19.057,-0.0026,-0.0011,-0.0020,0.1072,1.3801,1.4532,0.0007
2140,107000,574.1,25.846,-19.045,-0.0026,-0.0011,-0.0013,0.1155,1.3587,1.4399,0.0004
2160,108000,579.3,17.400,-14.051,-0.0026,-0.0014,-0.0007,0.1179,1.3664,1.4495,0.0002
2180,109000,584.5,24.510,-16.997,-0.0019,-0.0022,-0.0010,0.0945,1.3959,1.4364,0.0008
2200,,,,,,,,,,,
2200,110000,592.2,31.733,-30.042,-0.0019,-0.0010,-0.0032,0.1704,1.3900,1.4145,0.0002
2220,111000,597.3,36.859,-24.175,-0.0020,-0.0012,-0.0009,0.1842,1.3771,1.4060,0.0003
2240,112000,602.4,33.070,-27.788,-0.0018,-0.0008,-0.0014,0.1214,1.3726,1.4341,-0.0001
2260,113000,607.6,43.905,-31.332,-0.0025,-0.0012,-0.0036,0.1873,1.3959,1.4180,-0.0004
2280,114000,612.7,41.877,-25.205,-0.0021,-0.0006,-0.0009,0.1949,1.3853,1.3997,0.0003
2300,115000,617.9,35.229,-27.026,-0.0035,-0.0007,-0.0030,0.1106,1.3802,1.3825,0.0001
2320,116000,623.0,45.472,-27.392,-0.0024,-0.0008,-0.0007,0.1791,1.3941,1.4271,0.0001
2340,117000,628.2,41.570,-26.411,-0.0018,-0.0014,-0.0013,0.2296,1.4018,1.4324,0.0006
2360,118000,633.3,48.398,-28.590,-0.0018,-0.0014,-0.0010,0.2002,1.4024,1.4301,0.0005
2380,119000,638.5,46.203,-27.389,-0.0015,-0.0016,-0.0013,0.1969,1.4268,1.4230,0.0008
2400,,,,,,,,,,,
2400,120000,645.8,30.109,-24.157,-0.0019,-0.0012,-0.0018,0.1718,1.4002,1.4248,0.0003
2420,121000,650.9,42.222,-30.941,-0.0030,-0.0018,-0.0016,0.1296,1.3955,1.4035,0.0005
2440,122000,656.1,53.248,-43.125,-0.0025,-0.0015,-0.0021,0.2345,1.4167,1.3902,0.0009
2460,123000,661.4,39.606,-25.368,-0.0018,-0.0007,-0.0022,0.1957,1.4080,1.3913,-0.0001
2480,124000,666.5,21.941,-18.150,-0.0025,-0.0011,-0.0024,0.1245,1.3680,1.3797,0.0005
2500,125000,671.7,24.051,-17.962,-0.0029,-0.0014,-0.0035,0.1129,1.3764,1.3811,0.0001
2520,126000,676.9,25.877,-15.738,-0.0031,-0.0010,-0.0034,0.1253,1.4092,1.4067,0.0002
2540,127000,682.1,26.132,-16.827,-0.0019,-0.0021,-0.0022,0.1480,1.4147,1.3682,0.0010
2560,128000,687.2,35.828,-21.541,-0.0019,-0.0026,-0.0023,0.2081,1.4305,1.4009,0.0019
2580,129000,692.5,36.199,-20.824,-0.0023,-0.0010,-0.0017,0.1955,1.4183,1.3676,0.0009
2600,,,,,,,,,,,
2600,130000,699.9,45.579,-28.290,-0.0029,-0.0012,-0.0012,0.1560,1.4330,1.3675,-0.0000
2620,131000,705.2,40.496,-26.468,-0.0022,-0.0014,-0.0017,0.1304,1.4094,1.3556,0.0006
2640,132000,710.3,34.819,-22.710,-0.0020,-0.0012,-0.0012,0.1825,1.4082,1.3436,0.0006
2660,133000,715.5,33.574,-26.157,-0.0017,-0.0009,-0.0013,0.1457,1.3872,1.2978,0.0002
2680,134000,720.6,45.209,-32.198,-0.0016,-0.0007,-0.0013,0.2025,1.3881,1.3058,-0.0002
2700,135000,725.8,26.599,-19.929,-0.0021,-0.0006,-0.0010,0.1035,1.3784,1.3198,0.0003
2720,136000,731.0,33.895,-27.423,-0.0019,-0.0013,-0.0026,0.1242,1.3908,1.3110,0.0001
2740,137000,736.0,25.293,-24.226,-0.0015,-0.0009,-0.0031,0.0997,1.3979,1.2726,0.0005
2760,138000,741.2,18.035,-13.297,-0.0021,-0.0014,-0.0006,0.0990,1.3865,1.3230,-0.0003
2780,139000,746.3,39.654,-23.024,-0.0026,-0.0006,-0.0016,0.1765,1.3862,1.3169,0.0002
2800,,,,,,,,,,,
2800,140000,753.8,30.539,-23.056,-0.0020,-0.0010,-0.0019,0.1660,1.3745,1.3466,0.0001
2820,141000,759.0,26.074,-16.327,-0.0030,-0.0013,-0.0031,0.1370,1.3809,1.3264,-0.0001
2840,142000,764.1,24.214,-25.509,-0.0022,-0.0012,-0.0021,0.1313,1.3751,1.2950,0.0006
2860,143000,769.3,23.800,-20.434,-0.0014,-0.0010,-0.0022,0.1977,1.3570,1.3067,-0.0005
2880,144000,774.4,32.264,-29.060,-0.0019,-0.0008,-0.0020,0.1431,1.3215,1.2673,0.0002
2900,145000,779.6,23.602,-36.268,-0.0024,-0.0007,-0.0009,0.1338,1.3475,1.2459,0.0000
2920,146000,784.7,26.016,-33.095,-0.0025,-0.0010,-0.0024,0.1749,1.3353,1.2529,0.0002
2940,147000,789.9,26.079,-22.255,-0.0020,-0.0009,-0.0014,0.1345,1.3278,1.2880,0.0001
2960,148000,795.1,43.371,-27.345,-0.0018,-0.0010,-0.0015,0.1791,1.3453,1.2936,-0.0000
2980,149000,800.4,35.731,-23.970,-0.0034,-0.0005,-0.0008,0.2343,1.3358,1.2337,0.0004
3000,,,,,,,,,,,
3000,150000,807.9,34.919,-24.335,-0.0020,-0.0010,-0.0014,0.1489,1.3371,1.2703,0.0004
3020,151000,812.8,38.402,-24.820,-0.0023,-0.0013,-0.0020,0.2532,1.3455,1.3230,0.0007
3040,152000,818.0,32.091,-31.940,-0.0026,-0.0014,-0.0011,0.1489,1.3373,1.2733,0.0003
3060,153000,823.2,34.222,-35.414,-0.0015,-0.0014,-0.0033,0.2093,1.3160,1.2988,0.0008
3080,154000,828.3,40.931,-26.731,-0.0025,-0.0008,-0.0019,0.1692,1.2923,1.3149,0.0001
3100,155000,833.4,62.663,-42.085,-0.0029,-0.0006,-0.0027,0.3427,1.3101,1.3192,-0.0001
3120,156000,838.8,42.784,-23.933,-0.0018,-0.0009,-0.0026,0.2452,1.3061,1.3619,0.0000
3140,157000,844.1,43.193,-24.516,-0.0016,-0.0011,-0.0028,0.2433,1.3466,1.3654,0.0005
3160,158000,849.3,40.732,-22.565,-0.0020,-0.0009,-0.0014,0.2048,1.2856,1.3789,0.0001
