episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.1,4.115,-61.387,-0.0060,-0.0030,-0.0043,0.3028,1.6027,1.5985,-0.0003
40,2000,10.4,11.553,-56.359,-0.0024,-0.0016,-0.0027,0.2168,1.5907,1.5904,-0.0001
60,3000,15.6,12.534,-24.414,-0.0021,-0.0005,-0.0029,0.0873,1.5733,1.5781,0.0006
80,4000,20.6,10.304,-27.186,-0.0020,-0.0009,-0.0024,0.0801,1.5595,1.5592,0.0003
100,5000,25.9,9.089,-12.860,-0.0017,-0.0004,-0.0018,0.0710,1.5446,1.5501,0.0001
120,6000,30.9,16.216,-14.984,-0.0019,-0.0018,-0.0012,0.0346,1.5452,1.5499,0.0003
140,7000,36.2,8.821,-10.707,-0.0020,-0.0035,-0.0010,0.0152,1.5620,1.5378,0.0013
160,8000,41.5,9.558,-12.741,-0.0023,-0.0036,-0.0010,0.0061,1.5742,1.5348,-0.0003
180,9000,46.8,13.536,-15.607,-0.0019,-0.0019,-0.0012,0.0043,1.5805,1.5187,0.0007
200,,,,,,,,,,,
200,10000,54.4,12.937,-12.184,-0.0021,-0.0028,-0.0014,0.0043,1.5608,1.5286,0.0007
220,11000,59.5,10.158,-8.879,-0.0014,-0.0015,-0.0017,0.0034,1.5572,1.5190,0.0007
240,12000,64.7,17.940,-15.818,-0.0016,-0.0012,-0.0026,0.0051,1.5426,1.5171,0.0003
260,13000,69.8,8.958,-14.436,-0.0014,-0.0016,-0.0011,0.0038,1.5435,1.5112,0.0001
280,14000,74.9,13.028,-17.519,-0.0017,-0.0024,-0.0023,0.0048,1.5365,1.5133,0.0004
300,15000,80.0,31.948,-25.452,-0.0018,-0.0017,-0.0028,0.0072,1.5320,1.5011,-0.0001
320,16000,85.1,23.228,-17.734,-0.0015,-0.0010,-0.0021,0.0072,1.5311,1.4997,0.0003
340,17000,90.2,29.555,-21.084,-0.0018,-0.0013,-0.0011,0.0102,1.5220,1.4761,0.0001
360,18000,95.3,33.463,-29.301,-0.0020,-0.0005,-0.0016,0.0070,1.5042,1.4674,0.0000
380,19000,100.3,27.077,-24.502,-0.0022,-0.0008,-0.0013,0.0050,1.4886,1.4790,0.0001
400,,,,,,,,,,,
400,20000,107.7,28.371,-19.342,-0.0024,-0.0014,-0.0005,0.0063,1.4962,1.4639,0.0005
420,21000,112.7,35.456,-21.057,-0.0017,-0.0014,-0.0011,0.0061,1.5034,1.4706,0.0005
