episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
900,45000,218.5,225.4246,-24.2644,-0.0025,0.1267,1.9005,0.0003,nan
920,46000,223.1,187.1094,-26.3467,-0.0013,0.1396,1.8990,0.0001,nan
940,47000,227.6,193.7662,-25.1074,-0.0011,0.1467,1.9187,-0.0004,nan
960,48000,232.0,166.1507,-25.5575,-0.0017,0.1691,1.9051,0.0005,nan
980,49000,236.4,109.7652,-34.0532,-0.0019,0.2666,1.8867,0.0007,nan
1000,,,,,,,,,
1000,50000,242.8,221.0680,-33.1844,-0.0018,0.2134,1.8955,0.0007,nan
1020,51000,247.1,258.2860,-28.7306,-0.0012,0.1142,1.8927,0.0001,nan
1040,52000,251.6,289.0628,-31.5567,-0.0015,0.1684,1.9051,0.0001,nan
1060,53000,256.6,282.4788,-27.1757,-0.0015,0.1307,1.9019,0.0001,nan
1080,54000,261.4,219.2906,-23.3474,-0.0013,0.1352,1.9092,0.0003,nan
1100,,,,,,,,,
1100,55000,268.0,201.8318,-22.8553,-0.0015,0.1160,1.8990,0.0003,nan
1120,56000,272.7,190.1584,-23.1585,-0.0011,0.1213,1.9022,-0.0000,nan
1140,57000,277.3,175.0539,-16.8767,-0.0012,0.0983,1.9015,0.0008,nan
1160,58000,281.8,183.9884,-20.3002,-0.0016,0.1426,1.9070,0.0001,nan
1180,59000,286.5,197.1861,-29.6782,-0.0015,0.1361,1.9114,-0.0001,nan
1200,,,,,,,,,
1200,60000,292.9,156.5775,-28.2117,-0.0020,0.1971,1.9080,0.0001,nan
1220,61000,297.3,145.0857,-23.8440,-0.0012,0.2212,1.9000,0.0004,nan
1240,62000,301.7,154.0115,-24.8996,-0.0016,0.1947,1.9006,0.0002,nan
1260,63000,306.1,172.3034,-23.6806,-0.0012,0.1452,1.8788,0.0003,nan
1280,64000,310.5,179.9417,-36.3613,-0.0015,0.2717,1.8710,0.0001,nan
1300,,,,,,,,,
