episode,adv_return,good_return,actor_loss,critic_loss,entropy,elapsed
20,-22.095418867946716,-79.53925972748189,-0.08924375146161764,46.455892467498785,1.5830858498811722,6.37197208404541
40,-13.203284830578488,-38.87484316212018,-0.6336305419603984,91.76214644908906,1.5772965272267658,12.836199522018433
60,-11.57521695437492,-27.032587469501863,-0.18981447443366053,191.0583275079727,1.569362884759903,18.875017404556274
80,-18.339797150202795,-18.985868306940695,-0.11017922724907596,22.045745229721067,1.5719810465971629,25.20183801651001
100,-11.586841874795791,-21.266078645596163,-0.2890694297850132,56.07770352363586,1.566584774851799,34.10726308822632
120,-2.805626045460811,-18.606203269081988,-0.3000375700267878,251.20018371813225,1.5105737178614647,40.5483283996582
140,11.244319600522283,-21.141708546208,-0.2142148865386844,398.0727949142456,1.5035025030374527,46.5791802406311
160,-0.7845747743744873,-21.689771423790365,0.02047585267573593,214.57396602630615,1.4904381155967712,52.87855243682861
180,-0.40994420921953784,-31.888002634727336,0.05651390366256237,180.150740814209,1.4828145384788514,59.13502788543701
200,9.1138042883866,-23.536993503288063,-0.2847057412999372,306.02408905029296,1.4685055871804555,67.74677515029907
220,20.515164096860676,-21.78184876076063,-0.37569358600303526,661.7509895324707,1.409018275141716,73.6024522781372
240,23.301117037585357,-24.86281611611838,-0.09082380781571071,380.4188496907552,1.3987000167369843,79.75157570838928
260,39.09209354980266,-25.131845334085245,-0.15810754832345994,471.38750915527345,1.3381513446569442,85.51586675643921
280,43.099200703362,-30.335649490028583,-0.35183739322237667,725.393980662028,1.3047898232936859,91.56824946403503
300,53.94479802814254,-34.06327584897609,-0.1529677107930183,802.654125213623,1.2683657228946685,99.89863181114197
320,53.344980698021246,-28.843533222681447,-0.3606556262820959,704.9852066040039,1.187156375249227,106.11469841003418
340,59.63044395907666,-27.872804461211985,-0.04900263380259276,610.842147064209,1.2135384380817413,112.17118215560913
360,39.55461117211438,-35.77510390919514,0.13546019909748186,648.2545857747397,1.1896864434083303,118.35447263717651
380,21.07797682174452,-31.15275909550067,0.3956539496779442,469.82544326782227,1.174992251396179,124.34124398231506
400,52.98838911550121,-22.4218384922274,-0.029376515870292996,779.618039449056,1.2104243442416192,132.88348841667175
420,53.83672653888177,-29.299123053442734,-0.06379596855152736,787.3012932864103,1.2446399937299164,138.4296305179596
440,54.27019860853267,-30.801369626406903,-0.13723978118505328,999.2327982584635,1.259093850851059,144.36417984962463
460,90.36098198531779,-23.365667389791447,-0.6235026091337204,1046.1070301055909,1.1963388316333294,149.43477654457092
480,57.86939613339418,-26.314493411102337,-0.08427957880000275,838.2358350118001,1.2035912056763969,155.19630408287048
500,81.25541894363356,-26.85180050310753,-0.31787454476580024,1020.4079406738281,1.2388315826654435,163.1287136077881
