episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.1,5.162,-63.246,-0.0051,-0.0022,-0.0059,0.9273,1.6051,1.6002,0.0007
40,2000,10.3,8.157,-44.332,-0.0026,-0.0010,-0.0034,1.3086,1.6020,1.5905,0.0004
60,3000,15.5,7.739,-24.047,-0.0017,-0.0010,-0.0012,0.6141,1.5966,1.5770,0.0003
80,4000,20.7,9.414,-14.676,-0.0024,-0.0005,-0.0016,0.7982,1.5964,1.5754,-0.0003
100,5000,25.8,6.245,-11.275,-0.0021,-0.0008,-0.0012,0.9437,1.5913,1.5607,0.0002
120,6000,30.9,11.017,-12.182,-0.0019,-0.0007,-0.0016,0.6600,1.5864,1.5411,0.0002
140,7000,36.1,15.012,-16.161,-0.0020,-0.0005,-0.0011,0.5997,1.5874,1.5359,-0.0001
160,8000,41.1,14.080,-14.234,-0.0028,-0.0006,-0.0013,0.3543,1.5811,1.5419,0.0003
180,9000,46.2,17.464,-15.291,-0.0015,-0.0011,-0.0020,0.3440,1.5777,1.5144,-0.0003
200,,,,,,,,,,,
200,10000,53.7,15.038,-17.021,-0.0024,-0.0005,-0.0019,0.3199,1.5784,1.5140,0.0003
220,11000,58.8,12.696,-10.311,-0.0022,-0.0008,-0.0026,0.1932,1.5721,1.4888,-0.0001
240,12000,63.9,11.991,-9.712,-0.0019,-0.0012,-0.0016,0.1374,1.5624,1.4994,0.0008
260,13000,69.2,15.120,-17.104,-0.0022,-0.0007,-0.0010,0.2815,1.5617,1.4882,0.0003
280,14000,74.3,9.641,-16.167,-0.0017,-0.0013,-0.0012,0.1920,1.5521,1.4985,0.0006
300,15000,79.6,13.328,-11.478,-0.0016,-0.0020,-0.0019,0.1387,1.5656,1.5017,0.0007
320,16000,84.8,20.086,-15.703,-0.0012,-0.0017,-0.0008,0.2712,1.5664,1.4935,0.0007
340,17000,90.0,23.775,-13.956,-0.0021,-0.0019,-0.0010,0.2573,1.5569,1.5087,0.0008
360,18000,95.3,19.673,-13.261,-0.0017,-0.0011,-0.0010,0.1680,1.5402,1.4809,0.0003
380,19000,100.5,17.541,-16.271,-0.0017,-0.0008,-0.0010,0.1587,1.5393,1.5089,0.0005
400,,,,,,,,,,,
400,20000,108.0,20.853,-14.930,-0.0021,-0.0006,-0.0006,0.1427,1.5362,1.4878,0.0001
420,21000,113.2,21.205,-14.022,-0.0012,-0.0005,-0.0010,0.2096,1.5353,1.4680,0.0003
440,22000,118.2,24.921,-16.658,-0.0024,-0.0005,-0.0007,0.2029,1.5434,1.4762,0.0001
460,23000,123.4,26.689,-16.904,-0.0021,-0.0008,-0.0007,0.1891,1.5329,1.4789,0.0006
480,24000,128.5,29.998,-17.949,-0.0020,-0.0011,-0.0006,0.1802,1.5402,1.4787,0.0001
500,25000,133.7,20.734,-14.559,-0.0021,-0.0009,-0.0016,0.1698,1.5383,1.4714,-0.0001
520,26000,138.8,25.479,-13.956,-0.0019,-0.0005,-0.0005,0.1768,1.5321,1.4877,0.0001
540,27000,143.9,24.652,-15.447,-0.0021,-0.0014,-0.0008,0.1382,1.5159,1.4705,0.0006
560,28000,149.1,28.819,-18.695,-0.0034,-0.0009,-0.0007,0.2381,1.5100,1.4716,0.0002
580,29000,154.3,25.211,-16.305,-0.0023,-0.0015,-0.0004,0.1675,1.5186,1.4801,0.0001
600,,,,,,,,,,,
600,30000,161.8,29.414,-17.156,-0.0018,-0.0014,-0.0009,0.1664,1.4985,1.4609,0.0002
620,31000,166.8,32.860,-19.108,-0.0012,-0.0016,-0.0014,0.2081,1.4999,1.4626,0.0008
640,32000,172.0,36.916,-22.963,-0.0024,-0.0010,-0.0010,0.2066,1.4971,1.4326,0.0005
660,33000,177.1,29.539,-18.829,-0.0025,-0.0007,-0.0009,0.1640,1.4753,1.4244,0.0003
680,34000,182.3,31.117,-21.890,-0.0021,-0.0008,-0.0012,0.1263,1.4776,1.4290,0.0001
700,35000,187.4,33.508,-21.235,-0.0015,-0.0004,-0.0008,0.1281,1.4780,1.4588,0.0000
720,36000,192.5,36.667,-27.438,-0.0018,-0.0009,-0.0011,0.1320,1.4800,1.4449,0.0001
740,37000,197.5,39.376,-23.129,-0.0016,-0.0011,-0.0012,0.2004,1.4674,1.4782,0.0000
760,38000,202.8,28.851,-18.233,-0.0023,-0.0006,-0.0013,0.0916,1.4418,1.4919,0.0003
780,39000,207.9,30.127,-21.562,-0.0025,-0.0012,-0.0021,0.1206,1.4501,1.5110,0.0004
800,,,,,,,,,,,
800,40000,215.2,26.453,-21.712,-0.0024,-0.0008,-0.0019,0.1013,1.4620,1.4887,-0.0002
820,41000,220.2,18.204,-27.631,-0.0022,-0.0007,-0.0025,0.1331,1.4406,1.5100,0.0001
840,42000,225.3,15.635,-21.583,-0.0021,-0.0014,-0.0021,0.0822,1.4425,1.4986,0.0001
860,43000,230.4,34.848,-22.288,-0.0015,-0.0008,-0.0016,0.1623,1.4383,1.5101,-0.0002
880,44000,235.6,27.364,-20.234,-0.0022,-0.0008,-0.0024,0.1086,1.3975,1.4842,-0.0002
900,45000,240.9,30.405,-18.626,-0.0023,-0.0011,-0.0014,0.0996,1.4043,1.4866,0.0005
920,46000,246.1,25.015,-21.443,-0.0017,-0.0006,-0.0016,0.1025,1.4267,1.4824,0.0001
940,47000,251.2,20.923,-15.879,-0.0025,-0.0006,-0.0015,0.0871,1.4253,1.4797,0.0001
960,48000,256.4,25.215,-20.078,-0.0021,-0.0006,-0.0010,0.1372,1.4238,1.4667,0.0000
980,49000,261.6,27.954,-22.857,-0.0021,-0.0007,-0.0011,0.1742,1.4172,1.4329,0.0003
1000,,,,,,,,,,,
1000,50000,269.0,22.483,-19.280,-0.0030,-0.0008,-0.0007,0.0929,1.4316,1.4739,-0.0003
1020,51000,274.2,28.508,-21.918,-0.0021,-0.0005,-0.0016,0.2061,1.4333,1.4660,-0.0002
1040,52000,279.2,34.333,-24.485,-0.0018,-0.0007,-0.0007,0.1877,1.4297,1.4442,0.0002
1060,53000,284.6,25.980,-24.519,-0.0029,-0.0008,-0.0007,0.1183,1.4160,1.4356,0.0006
1080,54000,289.8,28.020,-19.078,-0.0022,-0.0006,-0.0011,0.1086,1.4173,1.4709,-0.0001
1100,55000,295.3,27.572,-27.129,-0.0028,-0.0006,-0.0018,0.1258,1.4030,1.4669,-0.0003
1120,56000,300.6,29.287,-23.084,-0.0023,-0.0014,-0.0005,0.1683,1.4216,1.4284,0.0002
1140,57000,305.8,46.962,-28.418,-0.0006,-0.0017,-0.0012,0.2940,1.4339,1.4578,-0.0000
1160,58000,310.8,36.125,-21.827,-0.0025,-0.0015,-0.0008,0.1964,1.4155,1.4370,0.0004
1180,59000,315.8,37.586,-25.670,-0.0017,-0.0005,-0.0009,0.1879,1.4011,1.4049,0.0001
1200,,,,,,,,,,,
1200,60000,323.3,36.328,-22.200,-0.0019,-0.0010,-0.0009,0.1729,1.4037,1.4613,0.0001
1220,61000,328.3,30.557,-19.601,-0.0021,-0.0017,-0.0018,0.1442,1.3832,1.4590,0.0011
1240,62000,333.4,25.814,-19.095,-0.0021,-0.0010,-0.0019,0.1339,1.3731,1.4678,0.0003
1260,63000,338.5,14.896,-11.896,-0.0034,-0.0007,-0.0022,0.1122,1.3602,1.4614,0.0004
1280,64000,343.8,12.289,-10.330,-0.0021,-0.0015,-0.0018,0.1317,1.3893,1.4680,0.0003
1300,65000,349.0,25.820,-18.494,-0.0017,-0.0026,-0.0012,0.2491,1.4203,1.4553,0.0007
1320,66000,354.2,23.632,-14.316,-0.0035,-0.0026,-0.0018,0.1309,1.4228,1.4637,0.0008
1340,67000,359.4,28.981,-18.541,-0.0016,-0.0012,-0.0023,0.1932,1.4174,1.4831,0.0006
1360,68000,364.6,30.236,-20.872,-0.0020,-0.0016,-0.0009,0.2038,1.4109,1.4558,-0.0002
1380,69000,369.8,25.015,-16.602,-0.0014,-0.0007,-0.0015,0.1339,1.4070,1.4639,0.0007
1400,,,,,,,,,,,
1400,70000,377.1,32.717,-21.304,-0.0030,-0.0007,-0.0010,0.2291,1.4122,1.4712,0.0002
1420,71000,382.2,24.194,-25.890,-0.0014,-0.0006,-0.0015,0.1785,1.4120,1.4525,-0.0001
1440,72000,387.5,11.151,-25.259,-0.0024,-0.0009,-0.0026,0.1312,1.3963,1.4660,0.0001
1460,73000,392.8,40.047,-27.872,-0.0016,-0.0009,-0.0016,0.3431,1.4190,1.4535,0.0010
1480,74000,397.8,35.202,-21.440,-0.0014,-0.0026,-0.0013,0.2026,1.4048,1.4572,0.0008
1500,75000,403.0,29.674,-20.388,-0.0023,-0.0019,-0.0013,0.1530,1.4126,1.4584,0.0005
1520,76000,408.3,38.259,-28.413,-0.0018,-0.0009,-0.0015,0.2016,1.4114,1.4492,-0.0001
1540,77000,413.5,34.606,-22.921,-0.0022,-0.0010,-0.0011,0.1941,1.3867,1.4496,0.0001
1560,78000,418.7,41.296,-22.883,-0.0017,-0.0008,-0.0015,0.1867,1.3706,1.4633,-0.0000
1580,79000,423.8,34.204,-26.609,-0.0019,-0.0020,-0.0010,0.1429,1.3985,1.4590,0.0006
1600,,,,,,,,,,,
1600,80000,431.2,30.384,-18.569,-0.0024,-0.0009,-0.0026,0.1628,1.3798,1.4500,0.0007
1620,81000,436.2,31.982,-21.912,-0.0019,-0.0012,-0.0027,0.1788,1.3942,1.4574,0.0002
1640,82000,441.3,22.650,-15.012,-0.0019,-0.0007,-0.0017,0.2110,1.3745,1.4218,0.0002
1660,83000,446.6,17.076,-18.118,-0.0021,-0.0009,-0.0021,0.1248,1.3720,1.4372,0.0002
1680,84000,451.8,24.974,-15.935,-0.0021,-0.0011,-0.0017,0.1650,1.3543,1.4174,0.0002
1700,85000,457.0,21.604,-15.793,-0.0022,-0.0007,-0.0016,0.1752,1.3164,1.4461,0.0004
1720,86000,462.0,26.166,-23.596,-0.0015,-0.0014,-0.0014,0.1545,1.3163,1.4180,0.0005
1740,87000,467.1,17.426,-27.783,-0.0020,-0.0013,-0.0020,0.1732,1.3021,1.4156,0.0016
1760,88000,472.2,29.012,-21.583,-0.0021,-0.0019,-0.0012,0.1461,1.3164,1.4094,-0.0000
1780,89000,477.4,28.514,-24.758,-0.0018,-0.0006,-0.0016,0.1923,1.2992,1.3887,0.0006
1800,,,,,,,,,,,
1800,90000,484.7,22.044,-16.353,-0.0023,-0.0011,-0.0014,0.1938,1.3134,1.3646,0.0001
