episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.0,3.629,-87.265,-0.0064,-0.0034,-0.0050,0.2985,1.6050,1.6011,0.0017
40,2000,10.2,2.850,-34.564,-0.0028,-0.0010,-0.0037,0.2358,1.5958,1.5918,0.0005
60,3000,15.3,9.093,-27.288,-0.0018,-0.0005,-0.0022,0.1248,1.5907,1.5783,0.0001
80,4000,20.3,4.663,-16.235,-0.0019,-0.0007,-0.0015,0.1019,1.5886,1.5702,-0.0003
100,5000,25.4,10.591,-30.697,-0.0020,-0.0010,-0.0015,0.0536,1.5843,1.5528,0.0006
120,6000,30.6,2.918,-22.425,-0.0019,-0.0007,-0.0022,0.0306,1.5765,1.5433,-0.0000
140,7000,35.8,13.641,-17.532,-0.0018,-0.0010,-0.0032,0.0156,1.5666,1.5421,-0.0000
160,8000,40.9,10.395,-14.505,-0.0020,-0.0010,-0.0024,0.0090,1.5627,1.5308,0.0001
180,9000,46.1,8.488,-13.078,-0.0022,-0.0014,-0.0010,0.0054,1.5725,1.5277,-0.0002
200,,,,,,,,,,,
200,10000,53.4,20.188,-18.440,-0.0017,-0.0016,-0.0013,0.0042,1.5733,1.5176,-0.0001
220,11000,58.4,13.689,-10.609,-0.0022,-0.0008,-0.0010,0.0038,1.5692,1.5249,-0.0001
240,12000,63.6,28.068,-19.728,-0.0018,-0.0012,-0.0009,0.0055,1.5642,1.5159,0.0004
260,13000,68.8,26.869,-20.688,-0.0014,-0.0012,-0.0009,0.0076,1.5577,1.5081,0.0003
280,14000,73.8,18.940,-12.964,-0.0017,-0.0009,-0.0009,0.0065,1.5443,1.5155,0.0009
300,15000,79.1,24.368,-16.848,-0.0024,-0.0006,-0.0008,0.0060,1.5473,1.5197,-0.0001
320,16000,84.4,33.346,-20.631,-0.0022,-0.0008,-0.0008,0.0079,1.5280,1.5121,0.0005
340,17000,89.7,28.934,-17.720,-0.0017,-0.0010,-0.0011,0.0064,1.5143,1.5250,0.0000
360,18000,94.9,35.556,-23.696,-0.0019,-0.0009,-0.0009,0.0062,1.5200,1.5199,0.0004
380,19000,100.1,44.203,-24.186,-0.0021,-0.0007,-0.0009,0.0073,1.5114,1.5102,-0.0001
400,,,,,,,,,,,
400,20000,107.5,44.492,-26.558,-0.0023,-0.0009,-0.0005,0.0094,1.5002,1.4974,0.0001
420,21000,112.5,28.504,-17.160,-0.0018,-0.0010,-0.0009,0.0068,1.4801,1.5142,0.0006
440,22000,117.7,33.406,-18.794,-0.0019,-0.0007,-0.0005,0.0069,1.4731,1.5173,0.0002
460,23000,123.0,30.487,-18.463,-0.0021,-0.0008,-0.0009,0.0047,1.4768,1.5129,0.0003
480,24000,128.3,43.420,-25.982,-0.0024,-0.0007,-0.0007,0.0056,1.4601,1.5184,0.0001
500,25000,133.4,34.666,-20.408,-0.0027,-0.0005,-0.0013,0.0074,1.4592,1.5182,0.0002
520,26000,138.6,28.996,-18.936,-0.0015,-0.0007,-0.0006,0.0072,1.4524,1.5284,0.0001
540,27000,143.7,39.559,-25.091,-0.0022,-0.0011,-0.0007,0.0089,1.4684,1.5381,0.0002
560,28000,148.8,36.792,-27.268,-0.0024,-0.0006,-0.0011,0.0075,1.4636,1.5322,0.0000
580,29000,153.9,29.033,-20.130,-0.0025,-0.0004,-0.0030,0.0083,1.4490,1.5375,0.0002
600,,,,,,,,,,,
600,30000,161.3,25.746,-22.055,-0.0015,-0.0008,-0.0006,0.0074,1.4725,1.5321,0.0002
620,31000,166.4,31.056,-22.041,-0.0018,-0.0008,-0.0011,0.0110,1.4651,1.5323,0.0006
640,32000,171.5,28.124,-18.589,-0.0019,-0.0010,-0.0013,0.0077,1.4441,1.5166,0.0007
660,33000,176.7,27.205,-23.871,-0.0019,-0.0008,-0.0012,0.0112,1.4608,1.5226,-0.0002
680,34000,181.9,25.790,-27.250,-0.0021,-0.0007,-0.0023,0.0080,1.4338,1.5291,0.0001
700,35000,187.1,25.474,-18.152,-0.0022,-0.0008,-0.0010,0.0071,1.4418,1.5262,-0.0004
720,36000,192.3,32.867,-26.482,-0.0016,-0.0009,-0.0009,0.0127,1.4431,1.5139,-0.0003
740,37000,197.5,30.471,-17.926,-0.0015,-0.0009,-0.0011,0.0097,1.4356,1.5139,0.0005
760,38000,202.6,37.431,-22.569,-0.0024,-0.0007,-0.0008,0.0103,1.4509,1.5091,0.0005
780,39000,207.8,34.860,-22.561,-0.0021,-0.0006,-0.0014,0.0105,1.4574,1.4967,-0.0001
800,,,,,,,,,,,
800,40000,215.2,29.279,-18.391,-0.0022,-0.0008,-0.0019,0.0127,1.4429,1.5072,0.0000
820,41000,220.3,18.089,-20.241,-0.0022,-0.0012,-0.0007,0.0119,1.4560,1.4589,0.0005
