episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
20,1000,5.0,1.818,-86.944,-0.0064,-0.0037,-0.0049,0.3052,1.6037,1.6010,0.0018
40,2000,10.4,3.595,-35.602,-0.0028,-0.0009,-0.0038,0.2665,1.5955,1.5912,0.0008
60,3000,15.5,7.817,-27.160,-0.0020,-0.0006,-0.0025,0.1378,1.5913,1.5765,0.0003
80,4000,20.7,7.020,-17.455,-0.0024,-0.0010,-0.0013,0.1163,1.5873,1.5716,-0.0002
100,5000,25.8,9.517,-29.951,-0.0019,-0.0007,-0.0019,0.0683,1.5816,1.5564,0.0006
120,6000,31.1,9.798,-22.924,-0.0023,-0.0008,-0.0017,0.0409,1.5668,1.5515,0.0001
140,7000,36.3,6.742,-14.751,-0.0022,-0.0009,-0.0027,0.0284,1.5575,1.5471,0.0004
160,8000,41.5,13.549,-14.296,-0.0018,-0.0013,-0.0032,0.0112,1.5618,1.5414,0.0000
180,9000,46.6,6.125,-12.444,-0.0017,-0.0017,-0.0013,0.0056,1.5693,1.5482,-0.0001
200,,,,,,,,,,,
200,10000,54.2,14.480,-14.953,-0.0021,-0.0014,-0.0023,0.0047,1.5651,1.5309,0.0001
220,11000,59.4,13.526,-10.710,-0.0033,-0.0005,-0.0008,0.0035,1.5665,1.5373,-0.0002
240,12000,64.5,19.994,-25.652,-0.0018,-0.0011,-0.0018,0.0053,1.5730,1.5191,0.0001
260,13000,69.7,13.521,-16.939,-0.0018,-0.0010,-0.0035,0.0030,1.5590,1.5126,0.0001
280,14000,74.8,18.178,-13.272,-0.0023,-0.0010,-0.0033,0.0046,1.5493,1.5049,0.0005
300,15000,80.0,32.168,-19.871,-0.0021,-0.0011,-0.0016,0.0083,1.5478,1.5053,0.0003
320,16000,85.0,23.582,-16.167,-0.0016,-0.0009,-0.0015,0.0066,1.5332,1.5010,-0.0001
340,17000,90.1,30.854,-20.807,-0.0021,-0.0013,-0.0009,0.0086,1.5041,1.5015,0.0003
360,18000,95.3,40.284,-29.694,-0.0026,-0.0010,-0.0008,0.0104,1.5132,1.4875,0.0003
380,19000,100.4,41.149,-25.193,-0.0017,-0.0017,-0.0009,0.0094,1.5064,1.4802,0.0005
400,,,,,,,,,,,
