episode,step,time_s,adv_reward,good_reward,actor_loss,critic_loss,entropy,kl,q_loss
20,1000,2.2,23.7298,-81.8944,0.0334,4.5575,nan,nan,nan
40,2000,4.5,36.4767,-141.2211,0.0169,6.6608,nan,nan,nan
60,3000,7.1,17.8347,-175.7856,0.0240,9.4727,nan,nan,nan
80,4000,9.4,15.5286,-210.7065,0.0439,8.9560,nan,nan,nan
100,,,,,,,,,
100,5000,13.0,21.5398,-297.0264,0.1091,9.9319,nan,nan,nan
